AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.074,-0.378,0.042,0.2291832,0.4583664,-3.5523396
0.169,-0.299,0.61,2.9793816,1.5469866,-0.6302538
0,0,0,0.1718874,-0.9167328,0.4010706
0.004,-0.005,0.035,0.4010706,0.0572958,0.1145916
0.001,-0.096,0.151,2.6929026,3.6096354,0.4010706
0.063,0,-0.061,-0.1145916,-0.8021412,0
0.133,-0.315,0.018,2.9793816,-0.859437,-2.1199446
0.146,-0.24,0.572,0.4583664,-0.8021412,0.3437748
0,0,0,0.6302538,-1.145916,0.4583664
0.004,-0.006,0.037,0.4010706,-0.4583664,0.0572958
0.004,-0.093,0.152,1.7761698,1.3178034,-0.1718874
0.065,0.001,-0.066,-0.286479,-0.286479,0
0.133,-0.304,0.011,5.0420304,-1.2032118,-2.005353
0.151,-0.253,0.57,0.8021412,-0.7448454,-0.2291832
0,0,0,0.572958,-0.859437,0.4010706
0.006,-0.006,0.036,0.4583664,-0.2291832,0.1718874
0.007,-0.09,0.15,1.145916,-0.0572958,-0.5156622
0.063,0.001,-0.066,-0.572958,-0.4010706,0
0.133,-0.299,0.011,5.0420304,-1.2605076,-1.7761698
0.152,-0.254,0.564,1.718874,-0.6302538,-0.572958
0,0,0,0.6302538,-0.8021412,0.2291832
0.003,-0.004,0.035,0.4583664,0.1145916,0.1145916
0.009,-0.093,0.149,0.6875496,-0.9167328,-0.8021412
0.061,0,-0.064,-0.6302538,-0.7448454,-0.1145916
0.13,-0.292,0.018,3.437748,-1.6615782,-1.432395
0.151,-0.248,0.563,2.1772404,-0.3437748,-0.9167328
0,0,0,0.6875496,-0.7448454,0.2291832
0,-0.005,0.037,0.572958,0,0.1145916
0.009,-0.097,0.148,0.4010706,-1.3178034,-0.9167328
0.059,-0.002,-0.063,-0.4583664,-0.8021412,-0.0572958
0.134,-0.291,0.027,0,-1.5469866,-0.9740286
0.152,-0.245,0.568,2.1199446,-0.3437748,-1.3750992
0,0,0,0.6875496,-0.7448454,0.1718874
-0.004,-0.005,0.041,0.6302538,-0.2291832,0.1718874
0.009,-0.097,0.146,0.2291832,-1.5469866,-1.0313244
0.059,-0.003,-0.065,-0.286479,-1.0886202,-0.0572958
0.131,-0.295,0.031,-2.8074942,-1.6615782,-0.4583664
0.154,-0.239,0.571,1.8907614,-0.3437748,-1.8334656
0,0,0,0.572958,-0.5156622,0.2291832
-0.004,-0.006,0.04,0.5156622,-0.4583664,0.1718874
0.007,-0.094,0.145,0.1145916,-1.5469866,-1.145916
0.06,-0.003,-0.064,-0.286479,-0.9167328,-0.0572958
0.131,-0.295,0.037,-4.6409598,-1.4896908,0.0572958
0.153,-0.237,0.57,1.432395,-0.4583664,-2.6356068
0,0,0,0.572958,-0.4583664,0.1718874
0,-0.005,0.04,0.4583664,-0.4583664,0.0572958
0.005,-0.093,0.143,0,-1.3750992,-1.2605076
0.062,-0.005,-0.063,-0.2291832,-0.859437,-0.1145916
0.137,-0.3,0.039,-4.8128472,-1.2032118,0.3437748
0.153,-0.237,0.568,1.3178034,-0.4010706,-3.2085648
0,0,0,0.4583664,-0.3437748,0.2291832
0.002,-0.006,0.04,0.286479,-0.3437748,0.1145916
0.004,-0.09,0.141,-0.0572958,-1.2605076,-1.3178034
0.063,-0.003,-0.065,0,-0.5156622,-0.0572958
0.14,-0.306,0.04,-2.6929026,-0.8021412,0.4010706
0.151,-0.234,0.564,1.5469866,-0.4010706,-3.2658606
0,0,0,0.3437748,-0.6302538,0.2291832
0.003,-0.006,0.038,0.3437748,-0.4010706,0.1145916
0.005,-0.088,0.138,-0.1145916,-1.0313244,-1.2605076
0.062,-0.001,-0.063,0,0,0
0.14,-0.307,0.036,0.3437748,-0.859437,0.1718874
0.146,-0.229,0.564,1.9480572,-0.5156622,-3.151269
0,0,0,0.286479,-0.572958,0.2291832
0.002,-0.005,0.037,0.4010706,-0.3437748,0.1145916
0.005,-0.086,0.134,-0.1718874,-0.859437,-1.145916
0.06,-0.001,-0.061,0.0572958,0,0
0.142,-0.299,0.029,5.2139178,-0.6875496,-0.286479
0.148,-0.222,0.563,1.8907614,-0.4010706,-2.8074942
0,0,0,0.3437748,-0.4583664,0.286479
0.004,-0.005,0.034,0.4010706,-0.3437748,0.1145916
0.002,-0.084,0.132,-0.1718874,-0.6875496,-0.9167328
0.058,-0.001,-0.06,0.0572958,-0.1718874,0
0.145,-0.289,0.023,7.0473834,-0.572958,-0.7448454
0.147,-0.222,0.561,1.718874,-0.572958,-2.4064236
0,0,0,0.5156622,-0.3437748,0.2291832
0.004,-0.004,0.031,0.5156622,-0.2291832,0.2291832
0.001,-0.079,0.129,-0.2291832,-0.6302538,-0.6875496
0.054,-0.002,-0.06,-0.1718874,-0.1145916,0.0572958
0.144,-0.284,0.022,6.8182002,-0.3437748,-1.3750992
0.145,-0.222,0.555,1.6042824,-0.4583664,-1.6615782
0,0,0,0.4583664,-0.5156622,0.1145916
0.008,-0.003,0.029,0.2291832,-0.286479,0.286479
0.001,-0.079,0.125,-0.3437748,-0.5156622,-0.572958
0.052,-0.003,-0.057,-0.1718874,-0.572958,0
0.139,-0.274,0.02,4.583664,-0.4010706,-1.8334656
0.145,-0.222,0.554,1.7761698,-0.4583664,-0.8021412
0,0,0,0.4583664,-0.4010706,0.0572958
0.006,-0.005,0.027,0.1718874,-0.2291832,0.2291832
0.001,-0.077,0.122,-0.3437748,-0.5156622,-0.4010706
0.052,-0.004,-0.056,0,-1.0886202,0.1145916
0.139,-0.271,0.021,1.0886202,0,-2.1772404
0.144,-0.224,0.551,2.1772404,-0.2291832,-0.1145916
0,0,0,0.4010706,-0.5156622,0.0572958
0,-0.004,0.026,0.4583664,-0.1718874,0.1145916
0,-0.077,0.119,-0.4010706,-0.5156622,-0.286479
0.051,-0.002,-0.055,0,-1.0313244,0.1145916
0.14,-0.278,0.021,-2.0626488,0.2291832,-2.5210152
0.151,-0.224,0.548,2.9793816,-0.0572958,0.4583664
0,0,0,0.3437748,-0.3437748,0
-0.004,-0.002,0.028,0.4583664,-0.1145916,0.2291832
0.002,-0.08,0.117,-0.4010706,-0.572958,-0.1718874
0.054,0,-0.058,0,-1.2605076,0.1145916
0.133,-0.287,0.022,-3.8961144,0.572958,-2.7501984
0.154,-0.225,0.548,3.4950438,0.286479,0.5156622
0,0,0,0.4010706,-0.4583664,0.0572958
-0.003,-0.003,0.033,0.3437748,-0.572958,0.0572958
0.003,-0.078,0.116,-0.4010706,-0.6875496,-0.0572958
0.056,-0.001,-0.057,0,-1.145916,0.1145916
0.132,-0.298,0.024,-3.5523396,0.6302538,-2.6929026
0.156,-0.219,0.552,3.2658606,0.572958,0.2291832
0,0,0,0.4010706,-0.6302538,0
-0.001,-0.004,0.036,0.4583664,-0.9740286,0
0.005,-0.076,0.114,-0.4010706,-0.7448454,0.0572958
0.059,-0.001,-0.061,0.286479,-1.0313244,0.1145916
0.135,-0.301,0.026,-1.8907614,0.572958,-2.5210152
0.153,-0.217,0.556,2.1772404,0.6302538,-0.572958
0,0,0,0.3437748,-0.7448454,0.1145916
-0.001,-0.006,0.036,0.572958,-1.0313244,0
0.006,-0.074,0.112,-0.4583664,-0.8021412,0.1718874
0.059,-0.001,-0.061,0.1718874,-0.4583664,0.0572958
0.133,-0.313,0.024,2.0626488,0.4010706,-2.291832
0.151,-0.216,0.557,0.8021412,0.2291832,-1.432395
0,0,0,0.3437748,-0.9740286,0.2291832
0,-0.008,0.036,0.3437748,-0.9167328,0.0572958
0.008,-0.074,0.112,-0.5156622,-0.9167328,0.2291832
0.058,-0.001,-0.061,0.2291832,-0.7448454,0.1145916
0.127,-0.299,0.012,5.6722842,0,-1.9480572
0.15,-0.221,0.557,-0.2291832,0,-2.0626488
0,0,0,0.3437748,-0.9167328,0.2291832
0,-0.008,0.034,0.2291832,-0.7448454,0
0.01,-0.071,0.108,-0.572958,-0.9167328,0.2291832
0.057,-0.001,-0.062,0.0572958,-0.4583664,0.0572958
0.131,-0.284,0.011,5.6722842,-0.1145916,-1.6042824
0.148,-0.226,0.552,-0.1145916,0.2291832,-2.2345362
0,0,0,0.4010706,-0.7448454,0.1718874
0,-0.007,0.029,0.286479,-0.8021412,0.0572958
0.011,-0.072,0.106,-0.6302538,-0.9740286,0.1718874
0.055,-0.003,-0.06,0.0572958,-0.8021412,0
0.138,-0.283,0.017,3.2658606,-0.0572958,-1.432395
0.146,-0.225,0.546,0.6875496,0.6302538,-1.8334656
0,0,0,0.3437748,-0.6302538,0.0572958
0.001,-0.007,0.027,0.3437748,-0.8021412,0.0572958
0.01,-0.073,0.105,-0.6875496,-0.9167328,0.0572958
0.055,-0.006,-0.058,-0.0572958,-0.9740286,0
0.137,-0.276,0.018,0.1718874,0.0572958,-1.432395
0.144,-0.225,0.547,2.2345362,0.9167328,-0.9740286
0,0,0,0.286479,-0.572958,0.0572958
0.001,-0.006,0.024,0.5156622,-0.7448454,0
0.008,-0.073,0.102,-0.6302538,-0.9167328,-0.0572958
0.054,-0.004,-0.058,0,-1.145916,0.0572958
0.14,-0.273,0.012,-3.0939732,0.3437748,-1.6042824
0.144,-0.216,0.554,2.86479,1.3750992,-0.3437748
0,0,0,0.2291832,-0.4010706,0
0.002,-0.004,0.022,0.4583664,-0.5156622,0
0.005,-0.073,0.101,-0.572958,-0.9167328,-0.286479
0.055,-0.004,-0.054,0,-1.2605076,0
0.14,-0.288,0.017,-5.2712136,0.572958,-2.2345362
0.147,-0.212,0.559,2.3491278,1.432395,0.1145916
0,0,0,0.3437748,-0.4010706,-0.0572958
0.005,-0.002,0.02,0.6875496,-0.6875496,0.1145916
0.004,-0.07,0.1,-0.4010706,-0.9167328,-0.5156622
0.056,-0.002,-0.055,0.0572958,-1.2605076,-0.0572958
0.142,-0.3,0.02,-4.0680018,0.5156622,-2.6929026
0.155,-0.208,0.564,0.9740286,1.3178034,0.2291832
0,0,0,0.4010706,-0.286479,0
0.005,-0.002,0.019,0.8021412,-0.3437748,0.1718874
0.004,-0.068,0.1,-0.2291832,-0.9740286,-0.6302538
0.056,-0.001,-0.055,0,-1.145916,0
0.139,-0.304,0.018,-1.0313244,0.5156622,-3.2658606
0.154,-0.206,0.568,-0.5156622,0.8021412,0
0,0,0,0.4010706,-0.2291832,0.0572958
0.004,-0.002,0.023,0.6302538,-0.0572958,0.1718874
0.007,-0.064,0.096,-0.0572958,-1.0886202,-0.6875496
0.059,0,-0.055,0.0572958,-1.0313244,-0.1145916
0.137,-0.303,0.017,2.4064236,0.286479,-3.437748
0.154,-0.213,0.568,-1.6615782,0.4010706,-0.4583664
0,0,0,0.4583664,-0.2291832,0.0572958
0.004,-0.003,0.027,0.4583664,0,0.1145916
0.009,-0.063,0.096,0.0572958,-1.145916,-0.5156622
0.056,0.001,-0.054,0.2291832,-0.286479,-0.0572958
0.142,-0.302,0.009,6.1879464,0.3437748,-3.6096354
0.151,-0.222,0.567,-1.8907614,0,-0.859437
0,0,0,0.4010706,-0.3437748,0.1145916
-0.001,-0.005,0.029,0.4583664,-0.0572958,0.2291832
0.01,-0.064,0.093,0.1145916,-1.145916,-0.286479
0.053,0,-0.055,0,-0.1145916,-0.0572958
0.13,-0.289,0.005,6.7036086,-0.1145916,-3.3231564
0.143,-0.227,0.565,-0.5156622,0,-0.859437
0,0,0,0.4583664,-0.0572958,0.0572958
-0.002,-0.005,0.029,0.4583664,-0.1718874,0
0.01,-0.06,0.089,0.1718874,-1.145916,-0.1145916
0.05,-0.001,-0.054,-0.0572958,0,-0.0572958
0.13,-0.277,0.012,3.5523396,-0.2291832,-2.6356068
0.145,-0.226,0.559,1.0313244,-0.0572958,-0.572958
0,0,0,0.4010706,0.0572958,0
-0.003,-0.006,0.028,0.572958,-0.5156622,0
0.01,-0.055,0.089,0.2291832,-1.0313244,-0.0572958
0.051,-0.004,-0.051,0,-0.2291832,-0.0572958
0.137,-0.276,0.019,-1.3750992,-0.1145916,-2.0626488
0.144,-0.224,0.557,2.7501984,-0.1718874,-0.0572958
0,0,0,0.4010706,0.0572958,0
0,-0.005,0.029,0.4583664,-0.3437748,0
0.011,-0.062,0.084,0.1718874,-0.9167328,-0.1718874
0.052,-0.006,-0.051,0,0,-0.0572958
0.136,-0.283,0.019,-5.156622,0.286479,-1.4896908
0.14,-0.217,0.553,3.437748,-0.1718874,0.6302538
0,0,0,0.4583664,0.286479,0
0.003,-0.005,0.025,0.5156622,-0.1145916,0
0.01,-0.062,0.082,0.2291832,-0.8021412,-0.4010706
0.055,-0.006,-0.052,0,0.2291832,0
0.136,-0.297,0.015,-6.875496,0,-1.3750992
0.136,-0.21,0.554,2.7501984,-0.1145916,1.0886202
0,0,0,0.4583664,0.1718874,0
0.002,-0.002,0.025,0.6302538,0.1718874,0.0572958
0.008,-0.055,0.082,0.1718874,-0.6875496,-0.8021412
0.056,-0.005,-0.052,0.2291832,0.6875496,-0.0572958
0.138,-0.31,0.016,-4.9847346,-0.1145916,-1.6615782
0.14,-0.211,0.551,1.3750992,-0.1718874,1.3178034
0,0,0,0.4583664,0.286479,0
0.001,0,0.026,0.4010706,0.2291832,0.0572958
0.008,-0.049,0.084,0.0572958,-0.5156622,-1.145916
0.055,-0.002,-0.056,0.286479,1.2032118,-0.0572958
0.139,-0.312,0.016,-1.145916,-0.2291832,-2.0626488
0.145,-0.216,0.552,0.1718874,-0.0572958,1.432395
0,0,0,0.6302538,0.4010706,0.1145916
0.002,-0.001,0.026,0.4583664,0.0572958,0.1145916
0.007,-0.045,0.086,-0.1145916,-0.3437748,-1.3750992
0.053,0.002,-0.06,0.4010706,1.6042824,-0.0572958
0.14,-0.311,0.012,2.9793816,-0.1718874,-2.4064236
0.149,-0.22,0.553,-0.1718874,0,1.6615782
0,0,0,0.6302538,0.5156622,0.1145916
0.001,-0.003,0.024,0.3437748,0,0.0572958
0.006,-0.049,0.085,-0.4583664,-0.1718874,-1.432395
0.049,0.005,-0.061,0.1145916,1.2032118,0
0.136,-0.304,0.008,5.5003968,-0.4010706,-2.6356068
0.152,-0.22,0.551,-0.1145916,0,1.4896908
0,0,0,0.6875496,0.6302538,0.1145916
0.001,-0.007,0.024,0.2291832,0.1145916,0.1145916
0.002,-0.056,0.084,-0.859437,0,-1.3178034
0.046,0.002,-0.058,-0.0572958,0.4583664,0.0572958
0.139,-0.292,0.009,4.9274388,-0.1718874,-2.6929026
0.151,-0.221,0.552,0.0572958,0.1718874,1.3178034
0,0,0,0.6875496,0.6302538,0
0.003,-0.008,0.021,0.4583664,0,0.1718874
-0.003,-0.061,0.083,-1.145916,0,-1.0313244
0.044,-0.001,-0.056,-0.1145916,-0.1145916,0.1145916
0.141,-0.29,0.009,2.2345362,0,-2.7501984
0.151,-0.224,0.552,0.3437748,-0.0572958,1.0313244
0,0,0,0.6302538,0.5156622,0
0,-0.007,0.02,0.5156622,0.0572958,0.1145916
-0.005,-0.063,0.081,-1.3178034,0,-0.8021412
0.043,-0.007,-0.049,-0.1145916,-0.4583664,0.0572958
0.14,-0.293,0.013,-0.9740286,-0.0572958,-2.7501984
0.149,-0.222,0.551,0.286479,-0.2291832,0.8021412
0,0,0,0.4010706,0.286479,0
-0.004,-0.007,0.021,0.6302538,-0.0572958,0.0572958
-0.005,-0.067,0.082,-1.3750992,-0.1718874,-0.572958
0.044,-0.012,-0.046,0,-0.6875496,0.0572958
0.139,-0.295,0.017,-3.5523396,-0.0572958,-2.6356068
0.145,-0.217,0.555,0,-0.5156622,0.6875496
0,0,0,0.4010706,0,0
-0.002,-0.006,0.024,0.7448454,-0.572958,0.0572958
-0.003,-0.066,0.083,-1.3178034,-0.5156622,-0.4010706
0.048,-0.013,-0.049,0.286479,-0.4010706,0
0.135,-0.299,0.021,-5.7868758,0.0572958,-2.3491278
0.143,-0.216,0.555,-0.7448454,-0.8021412,0.7448454
0,0,0,0.0572958,-0.2291832,0
-0.003,-0.004,0.023,0.8021412,-0.572958,-0.1145916
