"TimeStamp","FrameCounter","AccX","AccY","AccZ","GyrX","GyrY","GyrZ"
"0.01","1","0.341","-0.133","0.098","0.0572958","1.2032118","0.0"
"0.01","1","0.035","-0.163","0.055","1.718874","-0.9167328","1.2032118"
"0.01","1","-0.274","0.195","-0.331","-0.2291832","0.1145916","0.1145916"
"0.01","1","-0.033","0.026","-0.07","0.0","0.0","0.0"
"0.01","1","-0.003","0.006","0.019","-1.0886202","-0.4583664","-0.572958"
"0.01","1","0.001","0.0","0.001","0.0","0.0","0.0"
"0.02","2","0.343","-0.109","0.1","0.1718874","1.6615782000000001","-0.4010706"
"0.02","2","0.002","-0.143","0.028","1.3750992","-2.7501984","0.9740286"
"0.02","2","-0.268","0.194","-0.322","-0.0572958","0.0572958","0.1145916"
"0.02","2","-0.032","0.027","-0.071","0.0","0.0","0.0"
"0.02","2","-0.005","0.01","0.039","-0.4010706","-0.286479","-0.286479"
"0.02","2","0.0","0.0","0.0","0.0","0.0572958","0.0"
"0.03","3","0.339","-0.103","0.094","1.2605076","2.4637194","-0.4583664"
"0.03","3","0.005","-0.143","0.027","0.1145916","-2.291832","0.6875496"
"0.03","3","-0.261","0.192","-0.316","-0.1145916","0.1145916","0.0572958"
"0.03","3","-0.032","0.026","-0.07","0.0","0.0","0.0572958"
"0.03","3","-0.005","0.009","0.04","-0.1145916","-0.2291832","-0.1718874"
"0.03","3","0.0","0.002","-0.001","0.0","-0.0572958","0.0"
"0.04","4","0.339","-0.098","0.073","1.432395","2.86479","-0.572958"
"0.04","4","0.004","-0.138","0.035","-0.1718874","-2.5210152","0.5156622"
"0.04","4","-0.248","0.188","-0.298","0.0","-0.0572958","0.0"
"0.04","4","-0.032","0.025","-0.069","-0.0572958","0.0572958","0.0"
"0.04","4","-0.002","0.008","0.04","0.0","-0.2291832","-0.0572958"
"0.04","4","0.0","0.001","-0.002","0.0572958","0.0","0.0"
"0.05","5","0.35","-0.095","0.062","1.0313244","3.3231564000000002","-1.2032118"
