AccX,AccY,AccZ,GyrX,GyrY,GyrZ
-0.071596,-0.0811039,-0.0726943,-0.214928,-0.0439116,-0.164908
-0.000650373,-0.0257146,0.0312163,0.186944,-0.0238116,0.144583
0.0197469,-0.049878,0.021372,0.150108,0.137231,0.129365
-0.0364761,-0.0115263,-0.0109821,0.0616492,-0.0168002,0.0566951
0.0562306,-0.0605816,0.0264082,0.0767073,0.0685091,0.0193268
0.014438,-0.0149517,0.0839365,-0.0368439,-0.141448,0.366378
-0.0642657,-0.0981679,-0.0805557,-0.284113,-0.101856,-0.176861
0.0210549,-0.0225351,-0.00369117,0.182671,-0.129009,0.0603696
0.0418514,-0.0639497,0.0362976,0.127492,-0.0615096,0.204581
-0.00381729,0.0109875,0.00490494,0.0549159,0.0888464,0.0524747
0.069625,-0.0620824,0.0348039,0.0684317,0.113847,0.0433795
-0.000603979,-0.00630844,0.0950392,-0.0253881,-0.142909,0.356032
-0.0545024,-0.123422,-0.0867446,-0.392168,-0.196952,-0.186661
-0.00435325,0.0347922,-0.040434,0.150238,-0.0621176,0.0897959
0.0224968,-0.0417638,-0.00181374,0.0568121,-0.0459394,0.20633
0.0175077,0.00246423,-0.00104603,0.0763891,-0.00608506,0.0656053
0.0716863,-0.00252259,-0.00287255,0.0604276,0.128649,0.0540046
0.0167078,0.00503308,0.0919435,-0.0143795,-0.111782,0.347644
-0.0587282,-0.0851643,-0.0834993,-0.504986,-0.346471,-0.160582
-0.0362705,0.079944,-0.0506425,0.0615885,-0.0182499,0.262896
0.00873924,-0.0224419,-1.13543e-06,0.0209017,-0.0523946,0.220528
-0.0539705,0.0112249,0.0459235,0.0921445,-0.0611307,0.0813124
0.0893466,0.0505469,0.0177855,0.0120442,0.0606986,0.0481047
0.0351454,0.00823575,0.070732,0.00340638,-0.112156,0.315394
-0.114402,-0.00867265,-0.0816224,-0.541112,-0.479421,-0.129234
-0.026847,0.0823933,-0.044653,-0.0316515,-0.00763518,0.34833
-0.0241965,-0.019442,-0.00874737,-0.0130445,-0.108095,0.245754
0.00742404,0.0239061,0.00160612,0.0990183,0.045801,0.044212
0.0735241,0.120986,0.0863156,-0.0339952,0.0397696,-0.00029048
0.020606,-0.0234177,0.0707196,-0.0121623,-0.0687121,0.318732
-0.172675,0.0182472,-0.0723794,-0.490307,-0.515632,-0.153295
-0.0673956,0.0672678,-0.000181771,-0.15858,-0.0684882,0.295394
-0.0206246,-0.0150285,-0.00662959,-0.0206112,-0.142109,0.235366
0.0970292,-0.0148249,-0.00182588,0.11575,-0.0403088,0.0436411
0.0661235,0.153524,0.102083,-0.0467065,0.0898786,-0.104577
0.0275834,-0.0347049,0.0757473,-0.00498283,-0.0430617,0.244632
-0.163222,0.0264599,-0.0769996,-0.430598,-0.525393,-0.230366
-0.109833,0.105727,-0.00435565,-0.271605,-0.115795,0.311971
0.00278972,-0.0288843,0.0244628,-0.0358197,-0.357665,0.273944
0.0457756,-0.0204815,0.0224415,0.140801,-0.156092,0.0488179
