"TimeStamp","FrameCounter","AccX","AccY","AccZ","GyrX","GyrY","GyrZ"
"0.01","1","-0.949","-0.649","0.425","-4.6409598","26.585251200000002","-85.7145168"
"0.01","1","-0.406","0.384","0.34","3.6669312","-25.3820394","-10.255948199999999"
"0.01","1","0","0","0","0.286479","-0.1145916","-0.4583664"
"0.01","1","0.001","0.073","-0.05","0.859437","0.3437748","-0.572958"
"0.01","1","-0.052","0.353","-0.403","-4.1252976","25.6685184","25.496631"
"0.01","1","-0.069","0.044","0.064","1.6042824","3.0366774","-4.9274388"
"0.02","2","-0.491","-0.767","0.691","-2.1199445999999997","1.6042824","-1.0313244"
"0.02","2","-0.367","0.297","0.625","-1.2032118","0.286479","0.0"
"0.02","2","0","0","0","0.286479","0.0","-0.5156622"
"0.02","2","0.001","0.073","-0.049","0.9740286","0.4010706","-0.572958"
"0.02","2","-0.049","0.347","-0.395","-2.5210152","17.0168526","17.1314442"
"0.02","2","-0.083","0.006","0.061","0.1145916","2.1772404","-0.0572958"
"0.03","3","-0.502","-0.767","0.691","-2.0626488","3.5523396","-0.6875496"
"0.03","3","-0.373","0.295","0.626","0.1145916","0.5156622","-0.4583664"
"0.03","3","0","0","0","0.6875496","0.2291832","-0.4010706"
"0.03","3","0.0","0.076","-0.048","0.8021412","0.286479","-0.6875496"
"0.03","3","-0.047","0.353","-0.392","-1.4896908","11.2872726","11.688343199999998"
"0.03","3","-0.081","0.005","0.066","0.2291832","1.4896908","0.1145916"
"0.04","4","-0.511","-0.763","0.689","-2.0626488","4.297185","-0.4010706"
"0.04","4","-0.374","0.3","0.616","0.2291832","0.859437","-0.7448454"
"0.04","4","0","0","0","0.6302538","0.2291832","-0.4010706"
"0.04","4","0.0","0.075","-0.05","0.2291832","0.4583664","-0.572958"
"0.04","4","-0.045","0.342","-0.389","-0.9167328","7.448454","8.078707799999998"
"0.04","4","-0.082","0.004","0.062","0.4010706","1.2032118","0.2291832"
"0.05","5","-0.51","-0.763","0.682","-2.2345362","3.4950438","-0.3437748"
"0.05","5","-0.374","0.309","0.607","-0.5156622","1.145916","-1.0313244"
"0.05","5","0","0","0","0.4010706","0.4010706","-0.3437748"
"0.05","5","0.001","0.072","-0.053","0.2291832","0.572958","-0.4583664"
"0.05","5","-0.04","0.324","-0.384","-0.4583664","4.9274388","5.6149884000000005"
"0.05","5","-0.082","0.0","0.061","0.4010706","1.3178034","0.1145916"
"0.06","6","-0.504","-0.766","0.678","-2.0626488","2.578311","-0.1145916"
"0.06","6","-0.37","0.307","0.604","-2.0053530000000004","1.4896908","-1.5469865999999999"
"0.06","6","0","0","0","0.286479","0.6302538","-0.4010706"
"0.06","6","0.006","0.068","-0.05","0.6302538","0.4583664","-0.572958"
"0.06","6","-0.039","0.315","-0.378","-0.1718874","3.3804521999999997","3.7815228000000003"
"0.06","6","-0.082","-0.002","0.058","0.4583664","1.3750992","-0.0572958"
"0.07","7","-0.502","-0.768","0.675","-1.8334656","1.3178034","0.4010706"
"0.07","7","-0.366","0.297","0.604","-2.86479","1.8334656","-1.9480572"
"0.07","7","0","0","0","0.3437748","0.6302538","-0.4010706"
"0.07","7","0.007","0.071","-0.052","1.2605076","0.6302538","-0.3437748"
"0.07","7","-0.037","0.309","-0.374","0.0572958","2.291832","2.4064236"
"0.07","7","-0.081","-0.002","0.059","0.5156622","1.6042824","-0.2291832"
"0.08","8","-0.502","-0.773","0.675","-1.8907614000000001","0.7448454","1.0313244"
"0.08","8","-0.377","0.295","0.609","-2.4064236","2.1772404","-2.0626488"
"0.08","8","0","0","0","0.5156622","0.6875496","-0.4583664"
"0.08","8","0.004","0.076","-0.049","1.3178034","0.4583664","-0.2291832"
"0.08","8","-0.038","0.302","-0.366","0.286479","1.6615782000000001","1.432395"
"0.08","8","-0.08","0.0","0.058","0.572958","1.6042824","-0.2291832"
"0.09","9","-0.503","-0.775","0.67","-2.0053530000000004","1.2605076","1.3178034"
"0.09","9","-0.378","0.286","0.615","-1.9480572","1.8907614000000001","-2.1772404"
"0.09","9","0","0","0","0.8021412","0.8021412","-0.4010706"
"0.09","9","0.002","0.074","-0.048","1.2605076","0.4583664","-0.3437748"
"0.09","9","-0.039","0.296","-0.36","0.5156622","1.2605076","0.6302538"
"0.09","9","-0.078","0.003","0.055","0.6875496","2.0053530000000004","-0.0572958"
"0.1","10","-0.502","-0.766","0.666","-1.8907614000000001","2.291832","1.718874"
"0.1","10","-0.376","0.279","0.613","-0.7448454","1.6042824","-2.2345362"
"0.1","10","0","0","0","0.859437","0.9740286","-0.4010706"
"0.1","10","0.001","0.072","-0.044","1.2605076","0.4010706","-0.2291832"
"0.1","10","-0.039","0.291","-0.355","0.7448454","1.0313244","0.1145916"
"0.1","10","-0.076","0.002","0.057","0.572958","2.4637194","0.0572958"
"0.11","11","-0.506","-0.752","0.667","-1.718874","3.2658606","2.0626488"
"0.11","11","-0.368","0.283","0.61","0.1718874","1.2605076","-2.0053530000000004"
"0.11","11","0","0","0","0.6875496","0.9740286","-0.3437748"
