AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.181476,0.0782555,-0.0912987,0.260306,0.0313228,0.214587
0.189996,0.0333613,-0.14827,-0.0227081,-0.286004,0.0244712
0.0220558,-0.0251617,-0.123945,0.502524,-0.112991,-0.037464
0.0593686,-0.0109652,0.00321696,-0.0154961,-0.554641,-0.101338
0.0862554,0.0980954,-0.0663174,-0.189248,0.365148,-0.0293145
0.0577855,0.00100076,0.0176255,0.113762,-0.18981,0.183339
0.205436,0.121653,-0.142955,0.216864,0.0868975,0.413167
0.24006,0.0412082,-0.208801,0.100516,-0.089374,-0.0358312
0.0432729,-0.0248108,-0.0763664,0.570568,-0.197399,0.00314842
0.0491908,-0.0185788,-0.0342594,-0.0254106,-0.450474,-0.105852
0.114463,0.131403,-0.0757575,-0.137812,0.352887,-0.0580395
0.019053,-0.0275734,0.00559802,0.123981,-0.204586,0.103088
0.263821,0.165911,-0.199097,0.109685,0.259919,0.764325
0.138477,0.0698538,-0.32942,0.108081,-0.0254559,-0.129204
0.050289,-0.0595137,-0.105317,0.592091,-0.252748,0.0594152
0.065005,-0.0350521,-0.053153,-0.0485436,-0.406452,-0.120826
0.149729,0.157971,-0.0738873,-0.084689,0.319089,-0.095744
-0.00801414,-0.0316027,-0.000639783,0.139375,-0.172457,0.0338798
0.284392,0.141207,-0.206158,-0.0171338,0.590214,1.16393
0.0340064,0.0668861,-0.306451,-0.0423721,-0.19457,-0.014825
0.0579655,-0.0636583,-0.105925,0.67934,-0.245302,0.0563447
-0.0218504,-0.0391582,-0.0481759,-0.076994,-0.274084,-0.113761
0.168414,0.180215,-0.0865604,-0.012114,0.25947,-0.152127
0.00828117,-0.0926982,0.039176,0.200097,-0.0889152,0.0605818
0.266852,0.160264,-0.212951,-0.0823253,0.859616,1.38661
0.0302747,0.0784296,-0.222488,-0.130108,-0.323299,0.0905415
0.0495887,-0.0637289,-0.0521675,0.74918,-0.124566,0.0844957
-0.0488405,-0.0300139,-0.0403219,-0.0856141,-0.279477,-0.109548
0.162326,0.165849,-0.119432,0.0576314,0.227623,-0.225058
0.039303,-0.08718,0.0823654,0.216918,-0.149097,-0.144882
0.25353,0.228148,-0.223849,-0.129338,1.03906,1.5855
0.0422341,0.0531811,-0.203218,-0.0502025,-0.240035,0.11279
0.0338379,-0.0681056,-0.0178407,0.789311,-0.0140727,0.108945
-0.000669663,-0.0329921,-0.0670379,-0.101888,-0.170984,-0.0898397
0.15729,0.105973,-0.163077,0.072048,0.232843,-0.305536
0.0242394,-0.0492105,0.0823254,0.260694,-0.213986,-0.188577
0.283171,0.258724,-0.222357,-0.188359,1.17368,1.90858
0.0360615,0.0825774,-0.226023,0.0663754,-0.192149,0.0856737
0.00268811,-0.0678912,0.00719806,0.81426,0.102325,0.138219
-0.0220886,-0.0577677,-0.050583,-0.111255,-0.0804458,-0.0648119
0.200499,0.0639486,-0.166143,0.0120567,0.230606,-0.399257
0.0280187,-0.0358112,0.066813,0.321806,-0.229599,-0.159757
0.315605,0.260959,-0.170174,-0.262678,1.37725,2.23401
0.0301002,0.0584006,-0.260624,0.151208,-0.20946,0.0686468
-0.0242352,-0.0835125,-0.0100569,0.874587,0.124833,0.128026
0.0351063,-0.0704318,0.00606197,-0.0970263,-0.129206,-0.0503419
0.216326,0.0369149,-0.157777,-0.0927395,0.176977,-0.508657
0.0402136,-0.0714265,0.0426862,0.364937,-0.254743,-0.193766
0.298642,0.210615,-0.0873532,-0.317723,1.49463,2.47171
-0.02091,0.028311,-0.295097,0.137788,-0.397502,0.108163
-0.0376538,-0.0664316,0.0404144,0.915908,0.200484,0.14092
0.0842334,-0.0368506,0.0383497,-0.107724,-0.0993603,-0.0316202
0.196189,0.0286975,-0.15287,-0.185858,0.138006,-0.603293
0.0601133,-0.0909447,0.0264457,0.397434,-0.245389,-0.245877
0.277969,0.170539,-0.0498574,-0.361036,1.45038,2.59379
-0.0524986,0.0411074,-0.176313,0.126232,-0.654279,0.204281
-0.062731,-0.0583515,0.0582908,0.923859,0.152796,0.128696
0.06898,-0.0160906,0.0582122,-0.125113,-0.0417851,-0.0173543
0.1682,5.22733e-05,-0.158481,-0.261385,0.132734,-0.676482
0.0552209,-0.0611099,0.0282152,0.400053,-0.240708,-0.322916
0.259687,0.15707,-0.0796849,-0.428699,1.42083,2.73062
-0.073077,0.0957892,-0.133695,0.281182,-0.666909,0.199842
-0.0705621,-0.0483512,0.0843864,0.87955,0.0955114,0.13521
0.0739901,-0.0285349,0.0516059,-0.125362,0.04155,-0.00425962
0.164527,-0.00962663,-0.149211,-0.358838,0.147392,-0.716597
0.0631085,-0.0296021,0.0321795,0.430219,-0.211777,-0.307517
0.210779,0.178618,-0.0678741,-0.514784,1.48646,2.86272
-0.0311459,0.116305,-0.105184,0.493609,-0.617179,0.083575
-0.0749769,-0.055442,0.0580296,0.871623,0.0252683,0.0981997
-0.0336564,0.0132853,0.0498015,-0.113091,0.0765315,-0.0101575
0.127002,0.0147895,-0.122083,-0.428899,0.171657,-0.731965
0.0616313,-0.0402359,0.0499538,0.444781,-0.158767,-0.34971
0.144652,0.166373,-0.0225195,-0.573346,1.47751,2.955
-0.102687,0.166748,-0.119568,0.769363,-0.526945,-0.0842652
-0.0711704,-0.0244814,0.0675756,0.874246,-0.0506461,0.0499008
-0.0133182,0.0368097,0.0124289,-0.0942169,0.0313398,-0.0258769
0.100795,0.0341548,-0.101763,-0.443837,0.226022,-0.732997
0.0695902,-0.0084855,0.0767597,0.461519,-0.127045,-0.420606
0.0981429,0.151147,-0.00227957,-0.600695,1.32349,2.94965
-0.130767,0.232704,-0.107877,0.944612,-0.543205,-0.192774
-0.142631,-0.0285886,0.0409483,0.813333,-0.215688,-0.00506367
-0.0133158,0.00887817,-0.0309091,-0.0879909,0.0858327,-0.0192314
0.114325,0.0404531,-0.0922196,-0.425804,0.26386,-0.710049
0.0648342,0.00582874,0.0903335,0.519516,-0.153465,-0.442164
0.0620804,0.151666,-0.0260559,-0.598548,1.09318,2.89296
