"TimeStamp","FrameCounter","AccX","AccY","AccZ","GyrX","GyrY","GyrZ"
"0.01","1","-0.003","-0.606","0.32","1.2605076","2.9793816","-2.5210152"
"0.01","1","-0.055","-0.547","0.174","-0.0572958","-1.7761698","0.859437"
"0.01","1","0","0","0","0.0","-0.0572958","0.0"
"0.01","1","-0.003","-0.063","0.0","0.1145916","-0.0572958","0.0572958"
"0.01","1","-0.008","-0.043","-0.01","0.4010706","0.7448454","-0.1718874"
"0.01","1","0.008","-0.211","0.015","0.0","-0.1145916","0.0572958"
"0.02","2","-0.007","-0.618","0.306","0.7448454","2.6356068","-3.2085648"
"0.02","2","-0.063","-0.526","0.154","-0.4583664","-2.578311","2.0053530000000004"
"0.02","2","0","0","0","0.0","0.0","0.0"
"0.02","2","-0.003","-0.064","0.0","0.0","0.0","0.0"
"0.02","2","-0.001","-0.051","-0.012","-0.5156622","-0.2291832","0.0"
"0.02","2","0.009","-0.21","0.024","-0.1145916","-0.0572958","0.0572958"
"0.03","3","-0.007","-0.629","0.293","0.0","1.8907614000000001","-3.0939731999999998"
"0.03","3","-0.06","-0.528","0.148","0.4010706","-1.8907614000000001","2.291832"
"0.03","3","0","0","0","0.0572958","-0.0572958","0.0"
"0.03","3","-0.003","-0.066","0.0","0.0572958","-0.2291832","0.0572958"
"0.03","3","0.0","-0.055","-0.013","-1.2032118","-0.8021412","0.1145916"
"0.03","3","0.007","-0.21","0.015","-0.0572958","0.0","0.0572958"
"0.04","4","-0.009","-0.641","0.287","-1.8334656","0.3437748","-3.151269"
"0.04","4","-0.056","-0.533","0.141","1.2605076","-0.9167328","2.578311"
"0.04","4","0","0","0","0.0","0.0","0.0"
"0.04","4","-0.003","-0.065","0.0","0.0572958","0.0","0.0"
"0.04","4","0.002","-0.06","-0.012","-1.718874","-1.145916","0.1145916"
"0.04","4","0.008","-0.208","0.021","-0.1718874","0.1718874","0.0"
"0.05","5","-0.014","-0.645","0.302","-3.9534102000000004","-0.1718874","-3.2085648"
"0.05","5","-0.053","-0.54","0.139","1.718874","0.0","2.6356068"
"0.05","5","0","0","0","0.0","0.0","0.0"
"0.05","5","-0.002","-0.066","0.0","0.1145916","0.0","0.0"
"0.05","5","0.005","-0.063","-0.013","-2.1199445999999997","-1.432395","0.1718874"
"0.05","5","0.008","-0.205","0.018","-0.0572958","0.0","0.0572958"
"0.06","6","-0.022","-0.647","0.327","-3.2085648","-1.3750992","-2.4637194"
"0.06","6","-0.054","-0.547","0.131","1.2605076","0.7448454","2.4064236"
"0.06","6","0","0","0","0.0","0.0572958","-0.0572958"
"0.06","6","-0.002","-0.064","0.0","0.0","-0.1145916","0.0"
"0.06","6","0.007","-0.065","-0.013","-2.4064236","-1.5469865999999999","0.1718874"
"0.06","6","0.009","-0.205","0.017","0.0","0.0","0.0572958"
"0.07","7","-0.023","-0.646","0.342","-2.3491278","-1.718874","-1.4896908"
"0.07","7","-0.05","-0.553","0.146","-0.0572958","1.8907614000000001","2.0053530000000004"
"0.07","7","0","0","0","0.0","0.0","0.0"
"0.07","7","-0.001","-0.063","0.0","0.0","0.0","0.0"
"0.07","7","0.008","-0.069","-0.015","-2.5210152","-1.6042824","0.2291832"
"0.07","7","0.01","-0.205","0.019","-0.2291832","0.2291832","0.0572958"
"0.08","8","-0.023","-0.64","0.351","-1.6042824","-1.145916","-1.2032118"
"0.08","8","-0.049","-0.553","0.151","-0.2291832","2.4064236","1.432395"
"0.08","8","0","0","0","0.0","0.0","0.0"
"0.08","8","-0.002","-0.063","0.0","0.0572958","-0.1145916","0.0"
"0.08","8","0.01","-0.071","-0.013","-2.4637194","-1.6042824","0.286479"
"0.08","8","0.01","-0.206","0.017","-0.0572958","0.0","0.1145916"
"0.09","9","-0.026","-0.637","0.353","-1.6615782000000001","-0.572958","-1.432395"
"0.09","9","-0.047","-0.551","0.159","-0.6875496","2.9220857999999996","1.145916"
"0.09","9","0","0","0","0.0","-0.1145916","0.0"
"0.09","9","-0.002","-0.063","0.0","0.0","-0.1718874","0.0"
"0.09","9","0.012","-0.072","-0.012","-2.291832","-1.5469865999999999","0.286479"
"0.09","9","0.01","-0.204","0.017","-0.1145916","0.0","0.0"
"0.1","10","-0.023","-0.634","0.355","-1.6042824","0.4010706","-1.6042824"
"0.1","10","-0.049","-0.547","0.17","-0.4010706","3.151269","0.859437"
"0.1","10","0","0","0","0.0","0.0","0.0"
"0.1","10","-0.002","-0.064","0.0","0.0","-0.1145916","0.0"
"0.1","10","0.015","-0.068","-0.015","-2.0053530000000004","-1.432395","0.3437748"
"0.1","10","0.009","-0.204","0.018","-0.2291832","0.1718874","0.0572958"
"0.11","11","-0.026","-0.64","0.343","-1.6615782000000001","1.7761698","-2.2345362"
"0.11","11","-0.049","-0.546","0.171","-0.0572958","3.3804521999999997","0.859437"
"0.11","11","0","0","0","0.0","0.0572958","0.0"
"0.11","11","-0.002","-0.065","0.0","0.0","-0.3437748","0.0"
"0.11","11","0.012","-0.072","-0.013","-1.8334656","-1.2605076","0.3437748"
"0.11","11","0.009","-0.202","0.017","-0.1145916","-0.0572958","0.0572958"
"0.12","12","-0.018","-0.642","0.341","-3.5523396","3.2658606","-2.6356068"
"0.12","12","-0.046","-0.545","0.174","-0.4010706","3.3804521999999997","0.8021412"
"0.12","12","0","0","0","-0.0572958","0.0","0.0"
"0.12","12","-0.002","-0.063","0.0","0.1145916","-0.0572958","0.0"
"0.12","12","0.01","-0.071","-0.014","-1.6042824","-1.0313244","0.4583664"
"0.12","12","0.009","-0.201","0.019","-0.0572958","-0.0572958","0.0572958"
"0.13","13","-0.016","-0.654","0.332","-1.6042824","2.9220857999999996","-2.0053530000000004"
"0.13","13","-0.04","-0.55","0.183","-1.2032118","3.8388186","0.5156622"
"0.13","13","0","0","0","0.0","0.0","0.0"
"0.13","13","-0.003","-0.061","0.0","0.0","-0.0572958","0.0"
