"TimeStamp","FrameCounter","AccX","AccY","AccZ","GyrX","GyrY","GyrZ"
"0.01","1","-0.139","0.005","-0.006","-0.0572958","-0.0572958","0.0"
"0.01","1","-0.013","-0.118","0.014","1.718874","0.0572958","1.3178034"
"0.01","1","0","0","0","0.0","0.0","0.0"
"0.01","1","-0.008","-0.001","-0.002","0.0","0.0572958","0.0"
"0.01","1","0.017","0.013","0.0","-0.1145916","-0.4583664","0.0572958"
"0.01","1","-0.017","0.015","-0.002","0.0","0.0572958","0.0"
"0.02","2","-0.179","-0.019","-0.013","0.1145916","0.1145916","0.0"
"0.02","2","-0.008","-0.116","0.011","1.2605076","-0.572958","1.3178034"
"0.02","2","0","0","0","0.0","0.0","0.0572958"
"0.02","2","-0.009","0.0","-0.002","-0.0572958","0.0","0.0"
"0.02","2","0.025","0.019","0.001","0.0","-0.1718874","0.286479"
"0.02","2","-0.016","0.015","-0.001","-0.1145916","0.0572958","0.0"
"0.03","3","-0.181","-0.021","-0.012","0.4010706","0.1145916","-0.286479"
"0.03","3","-0.004","-0.116","0.012","0.859437","-0.6302538","1.432395"
"0.03","3","0","0","0","0.0","0.0","0.0"
"0.03","3","-0.009","0.0","-0.002","0.0","-0.0572958","0.0"
"0.03","3","0.021","0.018","0.003","0.0","0.0","0.4010706"
"0.03","3","-0.017","0.015","-0.002","0.0","0.0","0.0"
"0.04","4","-0.181","-0.023","-0.012","0.572958","0.1145916","-0.286479"
"0.04","4","-0.007","-0.118","0.015","0.6302538","-0.1145916","1.3178034"
"0.04","4","0","0","0","0.0","0.0","0.0"
"0.04","4","-0.008","0.0","-0.002","0.0","0.0","0.0"
"0.04","4","0.024","0.017","0.004","0.0","0.0","0.4583664"
"0.04","4","-0.016","0.015","-0.001","0.0","0.1145916","0.0"
"0.05","5","-0.181","-0.025","-0.014","0.9167328","0.5156622","0.0"
"0.05","5","-0.009","-0.115","0.014","0.4583664","0.1718874","1.2605076"
"0.05","5","0","0","0","0.0","0.0","0.0"
"0.05","5","-0.009","-0.001","-0.003","0.0","0.0","0.0"
"0.05","5","0.026","0.014","0.003","0.0","0.0","0.5156622"
"0.05","5","-0.017","0.015","-0.001","0.0","0.0","0.0"
"0.06","6","-0.179","-0.022","-0.016","1.3750992","1.145916","0.286479"
"0.06","6","-0.008","-0.111","0.008","0.0","0.5156622","0.9740286"
"0.06","6","0","0","0","0.0","0.0572958","0.0"
"0.06","6","-0.008","0.0","-0.002","0.0","0.0","0.0"
"0.06","6","0.027","0.014","0.003","0.0","0.0","0.6302538"
"0.06","6","-0.017","0.014","-0.002","0.0","0.1145916","0.0"
"0.07","7","-0.174","-0.02","-0.014","1.6615782000000001","2.0626488","0.1718874"
"0.07","7","-0.009","-0.114","0.005","-0.1718874","0.859437","0.6875496"
"0.07","7","0","0","0","0.0572958","0.0572958","0.0"
"0.07","7","-0.008","0.0","-0.002","0.0","0.0","0.0"
"0.07","7","0.025","0.016","0.002","0.0572958","0.0","0.7448454"
"0.07","7","-0.016","0.014","-0.001","0.0","0.0","0.0"
"0.08","8","-0.173","-0.021","-0.018","1.8334656","2.6929026","0.0"
"0.08","8","-0.013","-0.121","0.003","-0.2291832","0.859437","0.6875496"
"0.08","8","0","0","0","0.0","0.0","0.0572958"
"0.08","8","-0.008","0.0","-0.002","0.0","0.0","0.0"
"0.08","8","0.024","0.019","0.004","0.1718874","0.0572958","0.8021412"
"0.08","8","-0.018","0.014","-0.002","0.0572958","-0.0572958","0.0"
"0.09","9","-0.182","-0.027","-0.026","2.4064236","2.291832","0.1145916"
"0.09","9","-0.015","-0.121","0.003","-0.1145916","0.2291832","0.6875496"
"0.09","9","0","0","0","-0.1145916","0.1145916","0.0"
"0.09","9","-0.008","0.0","-0.002","0.0","0.0","0.0"
"0.09","9","0.025","0.02","0.005","0.1145916","0.1718874","0.7448454"
"0.09","9","-0.017","0.015","-0.002","0.0","0.0","0.0"
"0.1","10","-0.187","-0.026","-0.033","2.9793816","0.8021412","0.0"
"0.1","10","-0.012","-0.115","0.003","0.0572958","-0.572958","0.8021412"
"0.1","10","0","0","0","0.0","-0.1145916","0.0"
"0.1","10","-0.007","0.0","-0.003","-0.0572958","-0.0572958","0.0"
"0.1","10","0.024","0.018","0.005","0.0","0.2291832","0.6875496"
"0.1","10","-0.016","0.015","-0.002","0.0","0.0572958","0.0"
"0.11","11","-0.18","-0.018","-0.04","2.6356068","-0.5156622","0.1718874"
"0.11","11","-0.011","-0.114","0.004","0.0572958","-0.7448454","0.7448454"
"0.11","11","0","0","0","0.0","0.0","0.0"
"0.11","11","-0.007","0.0","-0.002","0.0572958","0.0","-0.0572958"
"0.11","11","0.021","0.015","0.002","-0.1718874","0.4010706","0.6302538"
"0.11","11","-0.017","0.015","-0.002","0.0","0.0","-0.0572958"
"0.12","12","-0.175","-0.017","-0.045","1.8334656","-0.4010706","0.3437748"
"0.12","12","-0.011","-0.112","0.006","-0.0572958","-1.145916","0.4583664"
"0.12","12","0","0","0","0.0","-0.1145916","0.0"
"0.12","12","-0.008","0.0","-0.003","0.0","0.0","0.0"
"0.12","12","0.018","0.01","0.001","-0.4010706","0.4583664","0.572958"
"0.12","12","-0.016","0.014","-0.002","-0.0572958","0.0572958","0.0"
"0.13","13","-0.172","-0.021","-0.048","0.6302538","0.572958","0.5156622"
"0.13","13","-0.008","-0.112","0.003","-0.286479","-1.0313244","0.286479"
"0.13","13","0","0","0","0.0","0.0572958","0.0"
"0.13","13","-0.008","-0.001","-0.003","0.0","-0.1145916","0.0"
"0.13","13","0.017","0.007","0.001","-0.4010706","0.4583664","0.4583664"
"0.13","13","-0.017","0.015","-0.002","0.0","0.1145916","0.0"
"0.14","14","-0.181","-0.021","-0.045","0.1718874","0.9167328","0.859437"
"0.14","14","-0.004","-0.113","0.002","-0.5156622","-0.572958","0.0572958"
"0.14","14","0","0","0","0.0","0.0","0.0"
"0.14","14","-0.008","0.0","-0.002","0.0","-0.0572958","0.0"
"0.14","14","0.016","0.005","0.002","-0.3437748","0.4010706","0.4010706"
"0.14","14","-0.016","0.013","-0.002","0.0","-0.0572958","0.0"
"0.15","15","-0.187","-0.02","-0.042","-0.0572958","-0.1718874","0.9740286"
"0.15","15","-0.006","-0.114","-0.001","-0.7448454","-0.0572958","-0.1145916"
"0.15","15","0","0","0","0.0","0.0","0.0"
"0.15","15","-0.008","0.0","-0.003","0.0","0.0","0.0"
"0.15","15","0.017","0.008","0.002","-0.1718874","0.286479","0.3437748"
"0.15","15","-0.016","0.013","-0.002","0.0","0.0","0.0572958"
"0.16","16","-0.173","-0.023","-0.042","0.2291832","-1.4896908","1.0313244"
"0.16","16","-0.008","-0.115","-0.003","-0.859437","0.1145916","-0.0572958"
"0.16","16","0","0","0","0.0","0.0","0.0"
"0.16","16","-0.007","0.0","-0.003","0.0","0.0","0.0572958"
"0.16","16","0.019","0.01","0.002","-0.0572958","0.1718874","0.286479"
"0.16","16","-0.016","0.015","-0.002","-0.0572958","0.0572958","0.0"
"0.17","17","-0.166","-0.022","-0.043","0.4583664","-2.1199445999999997","1.0886202"
"0.17","17","-0.007","-0.116","-0.002","-0.9167328","-0.1145916","0.0"
"0.17","17","0","0","0","0.0","0.0","0.0"
"0.17","17","-0.008","0.0","-0.002","0.0","-0.0572958","0.0"
"0.17","17","0.018","0.012","0.003","0.0572958","0.1145916","0.286479"
"0.17","17","-0.017","0.014","-0.001","0.1145916","0.0","0.0"
"0.18","18","-0.165","-0.018","-0.046","0.7448454","-1.718874","0.9167328"
"0.18","18","-0.003","-0.116","-0.005","-0.7448454","0.0572958","0.0"
"0.18","18","0","0","0","0.0","0.0572958","0.0"
"0.18","18","-0.009","0.0","-0.002","0.0","0.0","0.0"
"0.18","18","0.018","0.011","0.002","0.0572958","0.0572958","0.2291832"
