"TimeStamp","FrameCounter","AccX","AccY","AccZ","GyrX","GyrY","GyrZ"
"0.01","1","0.069","0.033","-0.026","-1.2605076","0.5156622","0.9167328"
"0.01","1","-0.036","-0.039","-0.017","0.3437748","-1.432395","-0.7448454"
"0.01","1","0","0","0","0.0","-0.0572958","0.0"
"0.01","1","-0.005","0.001","-0.002","0.0","0.0","0.0"
"0.01","1","-0.008","0.045","-0.002","1.145916","0.0","0.2291832"
"0.01","1","-0.015","0.011","-0.001","0.0","0.0","0.0"
"0.02","2","0.085","0.048","-0.026","-0.7448454","0.6875496","0.0"
"0.02","2","-0.054","-0.015","-0.031","0.0","-1.0886202","-0.9740286"
"0.02","2","0","0","0","0.0","0.0572958","0.0"
"0.02","2","-0.004","0.002","-0.002","0.0","-0.0572958","0.0"
"0.02","2","-0.015","0.056","-0.002","0.859437","0.286479","-0.1145916"
"0.02","2","-0.014","0.012","-0.001","0.0","0.0","0.0"
"0.03","3","0.077","0.044","-0.034","0.3437748","1.3178034","-0.572958"
"0.03","3","-0.055","-0.006","-0.028","-0.8021412","-0.572958","-0.7448454"
"0.03","3","0","0","0","0.0","0.0","0.0"
"0.03","3","-0.004","0.002","-0.002","0.0","0.0","0.0"
"0.03","3","-0.017","0.056","-0.001","0.6302538","0.3437748","-0.2291832"
"0.03","3","-0.014","0.011","-0.002","0.0","0.1718874","0.0"
"0.04","4","0.074","0.038","-0.047","1.145916","1.7761698","-0.7448454"
"0.04","4","-0.061","0.0","-0.019","-1.2032118","-0.4010706","-0.1718874"
"0.04","4","0","0","0","0.0","0.0572958","0.0"
"0.04","4","-0.005","0.002","-0.002","0.0","-0.0572958","0.0"
"0.04","4","-0.018","0.054","-0.003","0.4583664","0.2291832","-0.2291832"
"0.04","4","-0.014","0.01","0.0","-0.0572958","0.0","0.0"
"0.05","5","0.073","0.034","-0.058","0.8021412","1.432395","-0.5156622"
"0.05","5","-0.055","-0.009","-0.015","-1.0886202","-0.286479","0.7448454"
"0.05","5","0","0","0","0.0","-0.0572958","-0.0572958"
"0.05","5","-0.005","0.001","-0.001","0.0","-0.0572958","0.0"
"0.05","5","-0.015","0.053","-0.003","0.3437748","0.0","-0.1718874"
"0.05","5","-0.014","0.01","-0.001","0.0","-0.1718874","0.0"
"0.06","6","0.074","0.033","-0.063","-0.572958","0.5156622","-0.3437748"
"0.06","6","-0.057","-0.011","-0.007","-0.5156622","-0.2291832","0.7448454"
"0.06","6","0","0","0","0.0","0.1145916","0.0"
"0.06","6","-0.006","0.001","-0.001","0.0","0.0","0.0"
"0.06","6","-0.013","0.054","-0.003","0.2291832","-0.1145916","-0.0572958"
"0.06","6","-0.014","0.012","-0.001","0.0","0.0","0.0572958"
"0.07","7","0.072","0.033","-0.059","-2.0053530000000004","-0.3437748","-0.1718874"
"0.07","7","-0.057","-0.02","-0.006","-0.1145916","-0.572958","0.9740286"
"0.07","7","0","0","0","0.0","0.1145916","0.0"
"0.07","7","-0.005","0.001","-0.002","0.0","0.0","0.0"
"0.07","7","-0.011","0.055","-0.001","0.1718874","-0.3437748","0.0"
"0.07","7","-0.014","0.011","-0.001","0.0","0.1718874","0.0"
"0.08","8","0.07","0.033","-0.05","-2.291832","-1.0886202","0.0572958"
"0.08","8","-0.051","-0.027","-0.01","0.7448454","-0.9740286","0.4583664"
"0.08","8","0","0","0","0.0","-0.0572958","0.0572958"
"0.08","8","-0.004","0.001","-0.001","0.0","0.1718874","0.0"
"0.08","8","-0.01","0.054","-0.001","0.0","-0.572958","0.1718874"
"0.08","8","-0.014","0.011","-0.001","0.0572958","-0.0572958","0.0572958"
"0.09","9","0.075","0.035","-0.042","-1.3750992","-1.0886202","0.0572958"
"0.09","9","-0.055","-0.024","-0.017","1.3750992","-0.7448454","-0.1718874"
"0.09","9","0","0","0","0.0","0.0","0.0572958"
"0.09","9","-0.005","0.001","-0.002","0.0","0.0","0.0"
"0.09","9","-0.006","0.053","-0.002","-0.0572958","-0.8021412","0.4010706"
"0.09","9","-0.014","0.011","0.0","0.0","-0.0572958","0.0"
"0.1","10","0.072","0.035","-0.041","-0.1718874","-1.0313244","-0.1718874"
"0.1","10","-0.059","-0.014","-0.028","1.3178034","-0.4583664","-0.3437748"
"0.1","10","0","0","0","0.0","-0.1145916","0.0"
"0.1","10","-0.006","0.002","-0.003","0.0","-0.0572958","0.0"
"0.1","10","-0.001","0.052","-0.002","-0.2291832","-0.9740286","0.6875496"
"0.1","10","-0.014","0.011","-0.001","-0.0572958","0.2291832","0.0"
"0.11","11","0.073","0.035","-0.043","0.572958","-0.7448454","-0.1718874"
"0.11","11","-0.061","-0.009","-0.035","0.0","-0.4583664","-0.2291832"
"0.11","11","0","0","0","0.0572958","0.0572958","0.0"
"0.11","11","-0.006","0.001","-0.002","0.0","0.0","0.0"
"0.11","11","0.0","0.051","-0.002","-0.3437748","-1.0313244","0.9167328"
"0.11","11","-0.014","0.011","-0.001","0.0572958","-0.1718874","0.0"
"0.12","12","0.072","0.033","-0.048","0.6302538","-0.4583664","-0.0572958"
"0.12","12","-0.064","-0.008","-0.033","-0.8021412","0.0","0.0"
"0.12","12","0","0","0","0.0","-0.0572958","0.0"
"0.12","12","-0.005","0.002","-0.002","0.0","-0.0572958","0.0"
"0.12","12","0.001","0.049","-0.003","-0.4010706","-1.0886202","1.145916"
"0.12","12","-0.014","0.01","0.0","0.0","-0.1718874","0.0"
"0.13","13","0.068","0.033","-0.048","-0.4583664","-1.2032118","-0.0572958"
"0.13","13","-0.06","-0.008","-0.027","-0.9167328","0.8021412","0.4583664"
"0.13","13","0","0","0","0.0","0.0","0.0"
"0.13","13","-0.005","0.002","-0.002","0.0","0.0","0.0"
"0.13","13","0.001","0.047","-0.003","-0.4583664","-0.9740286","1.3178034"
"0.13","13","-0.014","0.01","-0.001","0.0","0.0572958","0.0572958"
"0.14","14","0.068","0.034","-0.043","-1.3750992","-1.4896908","0.0572958"
"0.14","14","-0.059","-0.013","-0.023","-0.859437","0.9740286","0.6302538"
"0.14","14","0","0","0","0.0","0.0","0.0"
"0.14","14","-0.005","0.001","-0.002","0.0","0.0572958","0.0"
"0.14","14","0.0","0.046","-0.002","-0.5156622","-0.859437","1.3750992"
"0.14","14","-0.013","0.011","-0.001","0.0","0.0","0.0"
"0.15","15","0.072","0.035","-0.035","-1.9480572","-1.4896908","0.0"
"0.15","15","-0.056","-0.016","-0.018","-0.9167328","1.2605076","0.6875496"
"0.15","15","0","0","0","0.0","0.0","0.0"
"0.15","15","-0.006","0.001","-0.002","0.0","0.0572958","0.0"
"0.15","15","0.0","0.046","-0.002","-0.572958","-0.7448454","1.2605076"
"0.15","15","-0.014","0.011","-0.001","0.1145916","-0.1718874","0.0572958"
"0.16","16","0.071","0.035","-0.026","-1.432395","-1.5469865999999999","-0.4583664"
"0.16","16","-0.055","-0.019","-0.016","-0.4010706","1.432395","0.6302538"
"0.16","16","0","0","0","0.0","0.0","0.0"
"0.16","16","-0.004","0.001","-0.002","0.0","0.0","0.0"
"0.16","16","0.0","0.046","-0.002","-0.6875496","-0.572958","1.0886202"
"0.16","16","-0.014","0.011","0.0","0.0","0.1718874","0.0"
"0.17","17","0.072","0.033","-0.022","-0.0572958","-1.4896908","-0.8021412"
"0.17","17","-0.055","-0.022","-0.016","-0.2291832","1.718874","0.3437748"
"0.17","17","0","0","0","0.0","-0.0572958","-0.0572958"
"0.17","17","-0.004","0.001","-0.002","0.0","0.0","0.0"
"0.17","17","0.001","0.046","-0.001","-0.7448454","-0.4583664","0.859437"
"0.17","17","-0.013","0.01","-0.001","0.0","0.0","0.0"
"0.18","18","0.07","0.032","-0.026","1.6615782000000001","-1.0313244","-0.859437"
"0.18","18","-0.057","-0.025","-0.015","-0.1718874","2.1199445999999997","0.1145916"
"0.18","18","0","0","0","0.0","0.0572958","0.0572958"
"0.18","18","-0.005","0.002","-0.002","0.0572958","-0.1718874","0.0"
"0.18","18","0.002","0.043","0.0","-0.859437","-0.3437748","0.5156622"
"0.18","18","-0.014","0.01","-0.001","0.0","0.0","0.0"
"0.19","19","0.068","0.031","-0.031","2.1772404","-0.9167328","-1.0313244"
"0.19","19","-0.059","-0.025","-0.012","-0.859437","2.0626488","-0.1145916"
"0.19","19","0","0","0","0.0","-0.1145916","0.0"
"0.19","19","-0.004","0.003","-0.002","0.0","-0.0572958","0.0"
"0.19","19","0.002","0.041","-0.002","-0.9167328","-0.2291832","0.2291832"
"0.19","19","-0.013","0.01","0.0","0.0","0.0572958","0.0"
"0.2","20","0.071","0.029","-0.035","2.0626488","-0.859437","-0.8021412"
"0.2","20","-0.054","-0.021","-0.005","-1.432395","2.0053530000000004","-0.3437748"
"0.2","20","0","0","0","0.0","0.0","0.0"
"0.2","20","-0.004","0.001","-0.001","0.0","-0.0572958","0.0"
"0.2","20","0.001","0.038","-0.004","-1.0313244","-0.1145916","-0.0572958"
"0.2","20","-0.013","0.01","-0.001","-0.0572958","0.1145916","0.0"
"0.21","21","0.072","0.026","-0.036","1.0313244","-0.9740286","-0.572958"
"0.21","21","-0.055","-0.019","0.005","-1.6042824","2.0626488","-0.6302538"
"0.21","21","0","0","0","0.0","0.0572958","0.0"
"0.21","21","-0.005","0.001","-0.002","0.0572958","0.0572958","0.0"
"0.21","21","0.0","0.034","-0.003","-0.9740286","-0.0572958","-0.286479"
"0.21","21","-0.013","0.009","0.0","0.0572958","0.0","0.0"
"0.22","22","0.071","0.026","-0.032","-0.6302538","-0.9740286","-0.2291832"
"0.22","22","-0.062","-0.014","0.014","-1.145916","2.1772404","-0.859437"
"0.22","22","0","0","0","-0.1145916","0.0","0.0"
"0.22","22","-0.005","0.002","-0.002","0.0","0.0","0.0"
"0.22","22","0.0","0.035","-0.003","-0.859437","0.0","-0.4010706"
"0.22","22","-0.013","0.01","0.0","-0.0572958","0.0","0.0"
"0.23","23","0.072","0.028","-0.026","-1.6042824","-0.4583664","-0.1718874"
"0.23","23","-0.065","-0.009","0.02","-0.859437","1.6042824","-0.5156622"
"0.23","23","0","0","0","0.0","-0.1145916","0.0"
"0.23","23","-0.004","0.001","-0.001","0.0","0.1145916","0.0572958"
"0.23","23","0.002","0.036","-0.003","-0.6302538","0.0","-0.5156622"
"0.23","23","-0.013","0.01","-0.001","-0.0572958","0.0572958","-0.0572958"
"0.24","24","0.074","0.031","-0.022","-1.4896908","-0.1145916","-0.3437748"
"0.24","24","-0.061","-0.008","0.027","-1.0313244","0.6875496","-0.0572958"
"0.24","24","0","0","0","0.0","0.0","0.0"
"0.24","24","-0.004","0.0","-0.002","0.0","0.0","0.0"
"0.24","24","0.002","0.037","-0.003","-0.3437748","0.1145916","-0.5156622"
"0.24","24","-0.013","0.011","-0.001","0.0","-0.0572958","-0.0572958"
"0.25","25","0.075","0.029","-0.022","-0.2291832","0.0","-0.572958"
"0.25","25","-0.058","-0.007","0.028","-0.3437748","0.0","0.0"
"0.25","25","0","0","0","0.0","0.0","0.0"
"0.25","25","-0.005","0.001","-0.002","0.0572958","-0.1145916","0.0"
"0.25","25","-0.001","0.039","-0.004","-0.0572958","0.4010706","-0.4010706"
"0.25","25","-0.013","0.011","0.0","0.0","-0.1145916","0.0"
"0.26","26","0.074","0.024","-0.027","0.1145916","0.0","-0.572958"
"0.26","26","-0.06","-0.008","0.021","0.5156622","-0.8021412","0.0"
"0.26","26","0","0","0","0.0","0.1145916","0.0"
"0.26","26","-0.004","0.003","-0.002","0.0","0.0","0.0"
"0.26","26","-0.006","0.04","-0.002","0.0572958","0.5156622","-0.3437748"
"0.26","26","-0.012","0.01","-0.001","0.0","0.0","-0.0572958"
"0.27","27","0.071","0.019","-0.027","-0.1145916","0.1718874","-0.3437748"
"0.27","27","-0.059","-0.01","0.011","0.8021412","-1.0313244","0.4583664"
"0.27","27","0","0","0","0.0","0.0572958","0.0"
"0.27","27","-0.003","0.002","-0.002","0.0","0.0","0.0"
"0.27","27","-0.008","0.041","-0.002","0.2291832","0.6302538","-0.286479"
"0.27","27","-0.013","0.011","-0.002","0.0","0.0","0.0"
"0.28","28","0.067","0.016","-0.024","-0.7448454","0.1145916","0.2291832"
"0.28","28","-0.057","-0.013","0.004","0.5156622","-1.2032118","0.4583664"
"0.28","28","0","0","0","0.0","0.0","0.0"
"0.28","28","-0.004","0.003","-0.001","0.0","-0.0572958","0.0"
"0.28","28","-0.009","0.042","-0.002","0.4010706","0.572958","-0.1718874"
"0.28","28","-0.013","0.01","-0.001","0.0","-0.0572958","0.0"
"0.29","29","0.069","0.015","-0.021","-0.5156622","0.3437748","0.7448454"
"0.29","29","-0.057","-0.015","0.0","-0.5156622","-1.432395","0.1145916"
"0.29","29","0","0","0","0.0","0.0572958","0.0"
"0.29","29","-0.004","0.001","-0.002","0.0","0.0","0.0"
"0.29","29","-0.009","0.044","-0.003","0.4583664","0.572958","-0.1145916"
"0.29","29","-0.013","0.009","-0.001","0.0","0.0572958","0.0"
"0.3","30","0.071","0.018","-0.023","0.1145916","0.3437748","0.8021412"
"0.3","30","-0.057","-0.012","0.002","-1.3178034","-1.2032118","0.0572958"
"0.3","30","0","0","0","0.0","-0.0572958","0.0"
"0.3","30","-0.004","0.002","-0.002","0.0","0.0","0.0"
"0.3","30","-0.006","0.045","-0.001","0.5156622","0.4010706","0.0"
"0.3","30","-0.012","0.01","-0.002","0.0","0.0","0.0"
"0.31","31","0.067","0.022","-0.026","0.572958","0.2291832","0.7448454"
"0.31","31","-0.058","-0.009","0.003","-1.0313244","-1.3178034","0.0572958"
"0.31","31","0","0","0","0.0572958","-0.0572958","0.0"
"0.31","31","-0.004","0.001","-0.003","0.0","0.0","0.0"
"0.31","31","-0.004","0.045","-0.002","0.5156622","0.286479","0.0572958"
"0.31","31","-0.013","0.009","0.0","0.0","-0.0572958","0.0"
"0.32","32","0.067","0.026","-0.032","0.859437","0.3437748","1.0886202"
"0.32","32","-0.063","-0.005","0.001","-0.3437748","-1.432395","0.2291832"
"0.32","32","0","0","0","0.0","0.0","0.0"
"0.32","32","-0.004","0.002","-0.002","0.0","0.0","0.0"
"0.32","32","-0.003","0.047","-0.002","0.4583664","0.1718874","0.1145916"
"0.32","32","-0.013","0.01","-0.001","0.0","0.0","-0.0572958"
"0.33","33","0.07","0.029","-0.038","0.0572958","0.5156622","1.0313244"
"0.33","33","-0.064","-0.003","-0.004","0.1145916","-1.9480572","0.6302538"
"0.33","33","0","0","0","0.0","0.0","0.0"
"0.33","33","-0.004","0.003","-0.002","0.0","0.1145916","0.0"
