TimeStamp,FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.01,1,0.014,0.012,-0.012,2.1199446,0.3437748,-0.3437748
0.01,1,0.01,0.101,-0.101,0.0,0.4583664,-0.4583664
0.01,1,0.0,0.0,-0.0,0.0,0.0,-0.0
0.01,1,0.005,-0.011,0.011,0.0,-0.1145916,0.1145916
0.01,1,-0.014,-0.018,0.018,-1.5469866,0.859437,-0.859437
0.01,1,0.04,-0.096,0.096,-0.4583664,-0.0572958,0.0572958
0.02,2,0.0,0.003,-0.003,0.6302538,-0.4010706,0.4010706
0.02,2,-0.013,0.08,-0.08,-0.9740286,0.6875496,-0.6875496
0.02,2,0.0,0.0,-0.0,0.0,-0.1145916,0.1145916
0.02,2,0.004,-0.011,0.011,0.0,-0.1145916,0.1145916
0.02,2,-0.02,-0.019,0.019,-1.6615782,0.8021412,-0.8021412
0.02,2,0.038,-0.099,0.099,-0.7448454,-0.3437748,0.3437748
0.03,3,0.001,0.002,-0.002,-0.859437,-0.1718874,0.1718874
0.03,3,-0.012,0.08,-0.08,-1.7761698,0.5156622,-0.5156622
0.03,3,0.0,0.0,-0.0,0.0,0.0,-0.0
0.03,3,0.003,-0.007,0.007,-0.0572958,0.0,-0.0
0.03,3,-0.024,-0.018,0.018,-1.6615782,0.6875496,-0.6875496
0.03,3,0.038,-0.098,0.098,-0.5156622,-0.4010706,0.4010706
0.04,4,0.002,0.001,-0.001,-2.0053530000000004,0.0,-0.0
0.04,4,-0.011,0.076,-0.076,-1.8334656,0.4010706,-0.4010706
0.04,4,0.0,0.0,-0.0,-0.0572958,0.0,-0.0
0.04,4,0.003,-0.007,0.007,-0.1145916,0.0,-0.0
0.04,4,-0.023,-0.019,0.019,-1.5469866,0.5156622,-0.5156622
0.04,4,0.038,-0.098,0.098,-0.6302538,-0.4010706,0.4010706
0.05,5,0.0,0.002,-0.002,-1.7761698,0.3437748,-0.3437748
0.05,5,-0.011,0.074,-0.074,-1.3750992,0.2291832,-0.2291832
0.05,5,0.0,0.0,-0.0,-0.0572958,-0.0572958,0.0572958
0.05,5,0.003,-0.006,0.006,-0.0572958,-0.1145916,0.1145916
0.05,5,-0.022,-0.017,0.017,-1.4896908,0.286479,-0.286479
0.05,5,0.037,-0.097,0.097,-0.2291832,-0.286479,0.286479
0.06,6,-0.001,0.002,-0.002,-0.859437,0.3437748,-0.3437748
0.06,6,-0.01,0.072,-0.072,-0.7448454,0.0,-0.0
0.06,6,0.0,0.0,-0.0,-0.1145916,-0.1718874,0.1718874
0.06,6,0.003,-0.01,0.01,-0.1145916,-0.1145916,0.1145916
0.06,6,-0.026,-0.017,0.017,-1.3750992,0.0,-0.0
0.06,6,0.038,-0.098,0.098,-0.0572958,-0.2291832,0.2291832
0.07,7,0.002,0.005,-0.005,0.4010706,0.572958,-0.572958
0.07,7,-0.011,0.069,-0.069,0.0,-0.3437748,0.3437748
0.07,7,0.0,0.0,-0.0,0.0,-0.3437748,0.3437748
0.07,7,0.005,-0.01,0.01,-0.1145916,-0.1145916,0.1145916
0.07,7,-0.028,-0.018,0.018,-1.2032118,-0.3437748,0.3437748
0.07,7,0.037,-0.097,0.097,-0.1145916,-0.2291832,0.2291832
0.08,8,0.001,0.005,-0.005,2.1772404,1.0313244,-1.0313244
0.08,8,-0.011,0.068,-0.068,0.286479,-0.572958,0.572958
0.08,8,0.0,0.0,-0.0,0.0572958,-0.286479,0.286479
0.08,8,0.001,-0.008,0.008,-0.1718874,-0.0572958,0.0572958
0.08,8,-0.027,-0.016,0.016,-1.145916,-0.6302538,0.6302538
0.08,8,0.036,-0.097,0.097,-0.286479,-0.2291832,0.2291832
0.09,9,0.0,0.003,-0.003,2.5210152,1.2605076,-1.2605076
0.09,9,-0.009,0.068,-0.068,0.5156622,-0.6302538,0.6302538
0.09,9,0.0,0.0,-0.0,0.0572958,-0.3437748,0.3437748
0.09,9,0.002,-0.008,0.008,-0.1145916,-0.0572958,0.0572958
0.09,9,-0.026,-0.015,0.015,-0.9740286,-0.859437,0.859437
0.09,9,0.035,-0.096,0.096,-0.286479,-0.1145916,0.1145916
0.1,10,0.004,0.001,-0.001,1.0313244,1.3178034,-1.3178034
0.1,10,-0.009,0.068,-0.068,0.1718874,-0.5156622,0.5156622
0.1,10,0.0,0.0,-0.0,0.0,-0.286479,0.286479
0.1,10,0.007,-0.009,0.009,0.0,-0.1718874,0.1718874
0.1,10,-0.026,-0.017,0.017,-0.859437,-1.0313244,1.0313244
0.1,10,0.033,-0.094,0.094,-0.4010706,-0.1145916,0.1145916
0.11,11,0.004,0.004,-0.004,-0.0572958,1.4896908,-1.4896908
0.11,11,-0.008,0.069,-0.069,0.0572958,-0.286479,0.286479
0.11,11,0.0,0.0,-0.0,0.0,-0.2291832,0.2291832
0.11,11,0.006,-0.01,0.01,-0.0572958,-0.1145916,0.1145916
0.11,11,-0.028,-0.015,0.015,-0.7448454,-1.0886202,1.0886202
0.11,11,0.033,-0.096,0.096,-0.286479,0.0,-0.0
0.12,12,0.002,0.001,-0.001,-0.2291832,1.6615782,-1.6615782
0.12,12,-0.008,0.068,-0.068,0.286479,-0.0572958,0.0572958
0.12,12,0.0,0.0,-0.0,-0.1145916,-0.2291832,0.2291832
0.12,12,0.004,-0.01,0.01,0.0572958,-0.2291832,0.2291832
0.12,12,-0.027,-0.017,0.017,-0.6875496,-1.145916,1.145916
0.12,12,0.034,-0.097,0.097,-0.4583664,0.0,-0.0
0.13,13,0.001,0.001,-0.001,0.3437748,1.4896908,-1.4896908
0.13,13,-0.009,0.07,-0.07,0.4583664,0.0,-0.0
0.13,13,0.0,0.0,-0.0,-0.1145916,-0.3437748,0.3437748
0.13,13,0.002,-0.007,0.007,0.0572958,-0.1718874,0.1718874
0.13,13,-0.026,-0.017,0.017,-0.6302538,-1.0886202,1.0886202
0.13,13,0.035,-0.098,0.098,-0.7448454,0.0,-0.0
0.14,14,0.001,0.001,-0.001,1.2032118,1.4896908,-1.4896908
0.14,14,-0.009,0.073,-0.073,0.572958,0.0,-0.0
0.14,14,0.0,0.0,-0.0,-0.1145916,-0.3437748,0.3437748
0.14,14,0.003,-0.007,0.007,0.1718874,-0.1718874,0.1718874
0.14,14,-0.024,-0.016,0.016,-0.6302538,-1.0886202,1.0886202
0.14,14,0.036,-0.1,0.1,-1.0886202,0.0,-0.0
0.15,15,0.0,0.001,-0.001,2.1772404,1.5469866,-1.5469866
0.15,15,-0.008,0.074,-0.074,0.859437,-0.1145916,0.1145916
0.15,15,0.0,0.0,-0.0,-0.1718874,-0.3437748,0.3437748
0.15,15,0.004,-0.008,0.008,0.2291832,-0.1145916,0.1145916
0.15,15,-0.022,-0.017,0.017,-0.572958,-1.0313244,1.0313244
0.15,15,0.037,-0.101,0.101,-1.145916,0.0572958,-0.0572958
0.16,16,0.003,0.002,-0.002,2.5210152,1.8907614,-1.8907614
0.16,16,-0.01,0.076,-0.076,1.2605076,-0.5156622,0.5156622
0.16,16,0.0,0.0,-0.0,-0.1718874,-0.3437748,0.3437748
0.16,16,0.004,-0.009,0.009,0.2291832,-0.1718874,0.1718874
0.16,16,-0.022,-0.015,0.015,-0.572958,-0.9740286,0.9740286
0.16,16,0.037,-0.1,0.1,-1.2605076,0.0,-0.0
0.17,17,0.006,0.001,-0.001,1.6615782,2.0626488,-2.0626488
0.17,17,-0.008,0.077,-0.077,1.2032118,-0.859437,0.859437
0.17,17,0.0,0.0,-0.0,-0.1718874,-0.4583664,0.4583664
0.17,17,0.002,-0.007,0.007,0.286479,-0.1718874,0.1718874
0.17,17,-0.021,-0.015,0.015,-0.5156622,-0.9167328,0.9167328
0.17,17,0.037,-0.1,0.1,-1.2605076,0.0,-0.0
0.18,18,0.011,0.006,-0.006,0.286479,2.4064236,-2.4064236
0.18,18,-0.007,0.078,-0.078,0.9167328,-1.2032118,1.2032118
0.18,18,0.0,0.0,-0.0,-0.1145916,-0.4583664,0.4583664
0.18,18,0.003,-0.01,0.01,0.286479,-0.286479,0.286479
0.18,18,-0.021,-0.016,0.016,-0.3437748,-0.8021412,0.8021412
0.18,18,0.037,-0.099,0.099,-1.2032118,0.1145916,-0.1145916
0.19,19,0.008,0.007,-0.007,-0.572958,2.6356068,-2.6356068
0.19,19,-0.005,0.077,-0.077,0.572958,-1.2605076,1.2605076
0.19,19,0.0,0.0,-0.0,0.0,-0.5156622,0.5156622
0.19,19,0.002,-0.011,0.011,0.2291832,-0.286479,0.286479
0.19,19,-0.023,-0.016,0.016,-0.1145916,-0.8021412,0.8021412
0.19,19,0.036,-0.099,0.099,-1.2605076,0.0572958,-0.0572958
0.2,20,0.006,0.007,-0.007,-0.4583664,2.8074942000000003,-2.8074942000000003
0.2,20,-0.003,0.076,-0.076,0.3437748,-1.145916,1.145916
0.2,20,0.0,0.0,-0.0,0.0,-0.5156622,0.5156622
0.2,20,0.0,-0.011,0.011,0.2291832,-0.2291832,0.2291832
0.2,20,-0.024,-0.015,0.015,0.1145916,-0.7448454,0.7448454
0.2,20,0.036,-0.098,0.098,-1.2032118,0.0572958,-0.0572958
0.21,21,0.003,0.007,-0.007,0.0,2.6356068,-2.6356068
0.21,21,-0.003,0.074,-0.074,0.0572958,-0.9167328,0.9167328
0.21,21,0.0,0.0,-0.0,0.0,-0.4583664,0.4583664
0.21,21,0.002,-0.011,0.011,0.286479,-0.2291832,0.2291832
0.21,21,-0.023,-0.015,0.015,0.4010706,-0.6302538,0.6302538
0.21,21,0.035,-0.099,0.099,-1.2605076,0.0,-0.0
0.22,22,-0.002,0.004,-0.004,0.572958,2.291832,-2.291832
0.22,22,-0.003,0.075,-0.075,-0.1718874,-0.4583664,0.4583664
0.22,22,0.0,0.0,-0.0,0.0572958,-0.3437748,0.3437748
0.22,22,0.004,-0.012,0.012,0.2291832,-0.1718874,0.1718874
0.22,22,-0.021,-0.014,0.014,0.6302538,-0.4010706,0.4010706
0.22,22,0.037,-0.097,0.097,-1.2032118,-0.0572958,0.0572958
