TimeStamp,FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.01,1,0.014,0.007,-0.007,2.1199446,-0.9740286,0.9740286
0.01,1,0.01,0.009,-0.009,0.0,-0.286479,0.286479
0.01,1,0.0,-0.0,0.0,0.0,-0.4583664,0.4583664
0.01,1,0.005,-0.0,0.0,0.0,-0.0,0.0
0.01,1,-0.014,-0.01,0.01,-1.5469866,-0.0,0.0
0.01,1,0.04,-0.0,0.0,-0.4583664,-0.859437,0.859437
0.02,2,0.0,0.008,-0.008,0.6302538,-1.3178034,1.3178034
0.02,2,-0.013,0.002,-0.002,-0.9740286,0.2291832,-0.2291832
0.02,2,0.0,-0.0,0.0,0.0,-0.5156622,0.5156622
0.02,2,0.004,-0.0,0.0,0.0,0.1145916,-0.1145916
0.02,2,-0.02,-0.01,0.01,-1.6615782,-0.2291832,0.2291832
0.02,2,0.038,-0.001,0.001,-0.7448454,-0.8021412,0.8021412
0.03,3,0.001,0.007,-0.007,-0.859437,-1.145916,1.145916
0.03,3,-0.012,0.008,-0.008,-1.7761698,0.3437748,-0.3437748
0.03,3,0.0,-0.0,0.0,0.0,-0.6302538,0.6302538
0.03,3,0.003,-0.004,0.004,-0.0572958,0.286479,-0.286479
0.03,3,-0.024,-0.011,0.011,-1.6615782,-0.3437748,0.3437748
0.03,3,0.038,-0.001,0.001,-0.5156622,-0.9167328,0.9167328
0.04,4,0.002,0.011,-0.011,-2.0053530000000004,-0.7448454,0.7448454
0.04,4,-0.011,0.012,-0.012,-1.8334656,0.4010706,-0.4010706
0.04,4,0.0,-0.0,0.0,-0.0572958,-0.6302538,0.6302538
0.04,4,0.003,-0.0,0.0,-0.1145916,0.5156622,-0.5156622
0.04,4,-0.023,-0.012,0.012,-1.5469866,-0.286479,0.286479
0.04,4,0.038,-0.002,0.002,-0.6302538,-1.0886202,1.0886202
0.05,5,0.0,0.018,-0.018,-1.7761698,-0.4010706,0.4010706
0.05,5,-0.011,0.014,-0.014,-1.3750992,0.572958,-0.572958
0.05,5,0.0,-0.0,0.0,-0.0572958,-0.572958,0.572958
0.05,5,0.003,0.002,-0.002,-0.0572958,0.859437,-0.859437
0.05,5,-0.022,-0.01,0.01,-1.4896908,-0.2291832,0.2291832
0.05,5,0.037,-0.002,0.002,-0.2291832,-0.7448454,0.7448454
0.06,6,-0.001,0.016,-0.016,-0.859437,0.1718874,-0.1718874
0.06,6,-0.01,0.015,-0.015,-0.7448454,0.8021412,-0.8021412
0.06,6,0.0,-0.0,0.0,-0.1145916,-0.4010706,0.4010706
0.06,6,0.003,-0.0,0.0,-0.1145916,1.2032118,-1.2032118
0.06,6,-0.026,-0.01,0.01,-1.3750992,-0.0572958,0.0572958
0.06,6,0.038,-0.002,0.002,-0.0572958,-0.4583664,0.4583664
0.07,7,0.002,0.021,-0.021,0.4010706,-0.0,0.0
0.07,7,-0.011,0.01,-0.01,0.0,0.4583664,-0.4583664
0.07,7,0.0,-0.0,0.0,0.0,-0.286479,0.286479
0.07,7,0.005,-0.0,0.0,-0.1145916,1.145916,-1.145916
0.07,7,-0.028,-0.01,0.01,-1.2032118,0.0572958,-0.0572958
0.07,7,0.037,-0.001,0.001,-0.1145916,-0.859437,0.859437
0.08,8,0.001,0.015,-0.015,2.1772404,-0.0572958,0.0572958
0.08,8,-0.011,0.007,-0.007,0.286479,0.286479,-0.286479
0.08,8,0.0,-0.0,0.0,0.0572958,-0.1145916,0.1145916
0.08,8,0.001,-0.001,0.001,-0.1718874,1.3750992,-1.3750992
0.08,8,-0.027,-0.01,0.01,-1.145916,0.286479,-0.286479
0.08,8,0.036,-0.002,0.002,-0.286479,-0.6302538,0.6302538
0.09,9,0.0,-0.001,0.001,2.5210152,-0.572958,0.572958
0.09,9,-0.009,0.005,-0.005,0.5156622,0.1145916,-0.1145916
0.09,9,0.0,-0.0,0.0,0.0572958,-0.1145916,0.1145916
0.09,9,0.002,-0.0,0.0,-0.1145916,1.6615782,-1.6615782
0.09,9,-0.026,-0.012,0.012,-0.9740286,0.572958,-0.572958
0.09,9,0.035,-0.002,0.002,-0.286479,-0.4010706,0.4010706
0.1,10,0.004,-0.007,0.007,1.0313244,-0.572958,0.572958
0.1,10,-0.009,0.002,-0.002,0.1718874,-0.0,0.0
0.1,10,0.0,-0.0,0.0,0.0,-0.0572958,0.0572958
0.1,10,0.007,-0.0,0.0,0.0,1.6615782,-1.6615782
0.1,10,-0.026,-0.012,0.012,-0.859437,0.8021412,-0.8021412
0.1,10,0.033,-0.001,0.001,-0.4010706,-0.0,0.0
0.11,11,0.004,0.001,-0.001,-0.0572958,-0.7448454,0.7448454
0.11,11,-0.008,0.002,-0.002,0.0572958,-0.3437748,0.3437748
