"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.005","1","0.993","-0.145","-0.476","0.7842","0.3301","-0.48410000000000003","-0.2037"
"0.005","1","0.541","1.068","-0.614","0.4995","0.6401","-0.10069999999999998","-0.5748"
"0.005","1","0.895","0.051","0.392","0.5162","-0.37639999999999996","-0.7195","0.272"
"0.005","1","0.863","-0.001","0.515","0.5719000000000001","0.13169999999999998","-0.8061","-0.0753"
"0.005","1","0.036","-0.919","-0.177","0.7998000000000001","-0.4324","0.3136","0.2737"
"0.005","1","-0.012","1.009","-0.061","0.8554999999999999","0.472","-0.0931","0.1913"
"0.01","2","0.979","-0.164","-0.493","0.7847999999999999","0.3327","-0.48","-0.2069"
"0.01","2","0.503","1.11","-0.55","0.5005","0.64","-0.0995","-0.5743"
"0.01","2","0.888","0.067","0.361","0.5157","-0.37639999999999996","-0.7198","0.2721"
"0.01","2","0.88","0.003","0.514","0.5717","0.1321","-0.8061999999999999","-0.0753"
"0.01","2","0.044","-0.922","-0.169","0.7996000000000001","-0.4326","0.3142","0.2731"
"0.01","2","-0.015","0.995","-0.062","0.8551","0.47240000000000004","-0.0937","0.1916"
"0.015","3","0.954","-0.182","-0.511","0.7853","0.33530000000000004","-0.47590000000000005","-0.2101"
"0.015","3","0.508","1.143","-0.476","0.5016","0.6399","-0.0982","-0.5736"
"0.015","3","0.885","0.082","0.355","0.5153","-0.37639999999999996","-0.7201","0.2722"
"0.015","3","0.888","0.009","0.528","0.5715","0.13240000000000002","-0.8061999999999999","-0.0753"
"0.015","3","0.047","-0.934","-0.162","0.7995","-0.4328","0.3148","0.2725"
"0.015","3","-0.022","0.987","-0.054","0.8547","0.4728","-0.0944","0.192"
"0.02","4","0.913","-0.204","-0.545","0.7859","0.3379","-0.4718","-0.21309999999999998"
"0.02","4","0.496","1.144","-0.411","0.5027","0.6399","-0.0968","-0.5729"
"0.02","4","0.89","0.089","0.343","0.5147999999999999","-0.3765","-0.7203999999999999","0.2723"
"0.02","4","0.887","0.016","0.535","0.5713","0.1326","-0.8063","-0.0753"
"0.02","4","0.05","-0.958","-0.157","0.7994","-0.433","0.3154","0.2718"
"0.02","4","-0.03","0.991","-0.041","0.8543","0.47329999999999994","-0.09509999999999999","0.1923"
"0.025","5","0.889","-0.214","-0.57","0.7865","0.3404","-0.4676","-0.21610000000000001"
"0.025","5","0.409","1.148","-0.389","0.5038","0.6399","-0.09519999999999999","-0.5723"
"0.025","5","0.895","0.096","0.337","0.5143","-0.3767","-0.7206","0.27240000000000003"
"0.025","5","0.882","0.023","0.529","0.5711999999999999","0.13269999999999998","-0.8064","-0.0752"
"0.025","5","0.05","-0.972","-0.155","0.7992","-0.4332","0.316","0.2711"
"0.025","5","-0.037","0.995","-0.046","0.8538","0.47380000000000005","-0.0958","0.1927"
"0.03","6","0.866","-0.222","-0.591","0.7871","0.3427","-0.46340000000000003","-0.2191"
"0.03","6","0.317","1.178","-0.388","0.5049","0.64","-0.0936","-0.5715"
"0.03","6","0.901","0.091","0.337","0.5136999999999999","-0.3769","-0.7208","0.2725"
"0.03","6","0.873","0.022","0.527","0.5711","0.13269999999999998","-0.8065","-0.075"
"0.03","6","0.046","-0.981","-0.153","0.7990999999999999","-0.43339999999999995","0.3167","0.27040000000000003"
"0.03","6","-0.048","0.996","-0.04","0.8533","0.4744","-0.0965","0.1931"
"0.035","7","0.839","-0.227","-0.609","0.7878000000000001","0.34500000000000003","-0.4593","-0.22200000000000003"
"0.035","7","0.271","1.201","-0.41","0.506","0.6402","-0.0921","-0.5705"
"0.035","7","0.91","0.082","0.344","0.5131","-0.3772","-0.721","0.2727"
"0.035","7","0.868","0.018","0.522","0.571","0.13269999999999998","-0.8066000000000001","-0.0748"
"0.035","7","0.038","-0.983","-0.152","0.799","-0.43360000000000004","0.3173","0.2697"
"0.035","7","-0.054","0.996","-0.031","0.8529","0.4749","-0.0973","0.1935"
"0.04","8","0.812","-0.232","-0.62","0.7884","0.3471","-0.4551","-0.22490000000000002"
"0.04","8","0.28","1.213","-0.468","0.5073000000000001","0.6405000000000001","-0.09090000000000001","-0.5692"
"0.04","8","0.921","0.071","0.352","0.5125","-0.3775","-0.7212","0.27290000000000003"
"0.04","8","0.866","0.016","0.51","0.5709","0.1326","-0.8067","-0.0745"
"0.04","8","0.032","-0.979","-0.152","0.7988000000000001","-0.4338","0.31789999999999996","0.269"
"0.04","8","-0.059","0.994","-0.028","0.8525","0.4753","-0.09809999999999999","0.19390000000000002"
"0.045","9","0.788","-0.232","-0.627","0.7891","0.34900000000000003","-0.45099999999999996","-0.2278"
"0.045","9","0.3","1.204","-0.494","0.5088","0.6408","-0.08990000000000001","-0.5677"
"0.045","9","0.929","0.055","0.36","0.5119","-0.3778","-0.7214","0.273"
"0.045","9","0.866","0.017","0.499","0.5709","0.1325","-0.8068","-0.0743"
"0.045","9","0.026","-0.963","-0.152","0.7987","-0.434","0.3186","0.2683"
"0.045","9","-0.063","0.992","-0.029","0.852","0.4758","-0.0988","0.1943"
"0.05","10","0.768","-0.224","-0.635","0.7899","0.3508","-0.4468","-0.2306"
"0.05","10","0.301","1.2","-0.512","0.5103","0.6411","-0.0889","-0.5660999999999999"
"0.05","10","0.932","0.035","0.368","0.5113000000000001","-0.3781","-0.7216","0.2732"
"0.05","10","0.87","0.02","0.482","0.5708","0.13240000000000002","-0.8069000000000001","-0.074"
"0.05","10","0.022","-0.949","-0.151","0.7987","-0.4342","0.3191","0.26749999999999996"
"0.05","10","-0.075","0.996","-0.031","0.8516999999999999","0.4761","-0.0996","0.1946"
"0.055","11","0.757","-0.213","-0.638","0.7906","0.35259999999999997","-0.4427","-0.2334"
"0.055","11","0.268","1.189","-0.543","0.512","0.6414","-0.0881","-0.5644"
"0.055","11","0.927","0.019","0.37","0.5107999999999999","-0.37829999999999997","-0.7219","0.2733"
"0.055","11","0.873","0.033","0.457","0.5707","0.1322","-0.807","-0.0737"
"0.055","11","0.022","-0.932","-0.157","0.7986","-0.4343","0.3197","0.26680000000000004"
"0.055","11","-0.068","0.986","-0.036","0.8513","0.47640000000000005","-0.1004","0.195"
"0.06","12","0.753","-0.201","-0.633","0.7914","0.35419999999999996","-0.4385","-0.23610000000000003"
"0.06","12","0.208","1.189","-0.55","0.5138","0.6416999999999999","-0.0874","-0.5625"
"0.06","12","0.918","0.013","0.367","0.5102","-0.3786","-0.7221","0.27349999999999997"
"0.06","12","0.876","0.051","0.439","0.5707","0.1321","-0.8070999999999999","-0.0735"
"0.06","12","0.027","-0.919","-0.168","0.7986","-0.4344","0.3203","0.266"
"0.06","12","-0.072","0.998","-0.032","0.851","0.4766","-0.1012","0.1954"
"0.065","13","0.756","-0.187","-0.621","0.7921","0.3558","-0.4344","-0.23879999999999998"
"0.065","13","0.161","1.177","-0.562","0.5158","0.642","-0.0872","-0.5603"
"0.065","13","0.909","0.018","0.364","0.5097","-0.37879999999999997","-0.7222999999999999","0.2736"
"0.065","13","0.883","0.082","0.426","0.5706","0.1319","-0.8071999999999999","-0.0733"
"0.065","13","0.029","-0.905","-0.175","0.7986","-0.4345","0.32080000000000003","0.2652"
"0.065","13","-0.065","1.007","-0.028","0.8507","0.4769","-0.1021","0.1957"
