TimeStamp,FrameCounter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
,,,,,,,
0.02,1,0.261,1.333,-0.181,6.2452422,1.4896908,3.6096354
,,,,,,,
0.02,1,0.427,1.219,-0.443,-0.5156622,-0.1145916,-0.4010706
,,,,,,,
0.02,1,0.003,0.006,-0.008,0,-0.1145916,0
,,,,,,,
0.02,1,-0.001,0.009,-0.008,0,0,0.1145916
,,,,,,,
0.02,1,-0.043,-0.052,-0.111,0.859437,0.8021412,-3.0366774
,,,,,,,
0.02,1,0.022,0.014,-0.019,-0.2291832,-0.3437748,0
,,,,,,,
0.04,2,0.281,1.272,-0.148,-0.2291832,-2.578311,0.5156622
,,,,,,,
0.04,2,0.389,1.226,-0.398,-0.6302538,0.286479,-0.3437748
,,,,,,,
0.04,2,0.003,0.006,-0.007,0,0,0
,,,,,,,
0.04,2,-0.001,0.011,-0.006,0.1145916,0.0572958,0.1718874
,,,,,,,
0.04,2,-0.04,-0.053,-0.116,1.9480572,0.2291832,0.286479
,,,,,,,
0.04,2,0.018,0.022,-0.031,0.1145916,-0.1718874,0.1718874
,,,,,,,
0.06,3,0.284,1.273,-0.161,0.0572958,-1.7761698,0.572958
,,,,,,,
0.06,3,0.387,1.219,-0.395,-0.7448454,0.572958,0
,,,,,,,
0.06,3,0.002,0.007,-0.008,0,0,0
,,,,,,,
0.06,3,-0.001,0.013,-0.007,0.0572958,0,0.0572958
,,,,,,,
0.06,3,-0.04,-0.053,-0.115,1.4896908,0.3437748,-0.2291832
,,,,,,,
0.06,3,0.018,0.02,-0.035,0,0.0572958,0.1718874
,,,,,,,
0.08,4,0.281,1.265,-0.166,0,-0.6875496,0.286479
,,,,,,,
0.08,4,0.385,1.212,-0.395,-1.0313244,0.6302538,0.1718874
,,,,,,,
0.08,4,0.002,0.007,-0.009,0,0,0
,,,,,,,
0.08,4,-0.001,0.014,-0.008,-0.1718874,0,0
,,,,,,,
0.08,4,-0.04,-0.055,-0.115,0.9740286,0.286479,-0.6875496
,,,,,,,
0.08,4,0.016,0.022,-0.035,-0.1145916,-0.0572958,0.1718874
,,,,,,,
0.1,5,0.273,1.258,-0.161,0.1145916,0.2291832,-0.0572958
,,,,,,,
0.1,5,0.383,1.205,-0.393,-1.3178034,0.4010706,-0.0572958
,,,,,,,
0.1,5,0.004,0.007,-0.009,0,0.0572958,0
,,,,,,,
0.1,5,-0.001,0.011,-0.009,-0.0572958,0,-0.0572958
,,,,,,,
0.1,5,-0.042,-0.057,-0.113,0.7448454,0.1718874,-1.145916
,,,,,,,
0.1,5,0.016,0.024,-0.035,-0.9167328,-0.0572958,0.2291832
,,,,,,,
0.12,6,0.272,1.255,-0.143,1.718874,0.3437748,-0.4583664
,,,,,,,
0.12,6,0.377,1.207,-0.395,-0.6302538,0.4010706,0
,,,,,,,
0.12,6,0.003,0.008,-0.009,0,0.0572958,0
,,,,,,,
0.12,6,0,0.01,-0.01,0,0,-0.1145916
,,,,,,,
0.12,6,-0.044,-0.056,-0.113,0.6875496,-0.1718874,-1.2605076
,,,,,,,
0.12,6,0.017,0.023,-0.036,-1.5469866,0.1145916,0.4010706
,,,,,,,
0.14,7,0.245,1.266,-0.164,1.9480572,-0.4583664,-0.1718874
,,,,,,,
0.14,7,0.375,1.212,-0.407,-0.286479,0.572958,0.1718874
,,,,,,,
0.14,7,0.003,0.008,-0.01,0,0,0
,,,,,,,
0.14,7,0,0.009,-0.01,0.1145916,0,-0.1718874
,,,,,,,
0.14,7,-0.046,-0.055,-0.111,0.572958,-0.572958,-1.2605076
,,,,,,,
0.14,7,0.018,0.022,-0.038,-1.718874,0.286479,0.5156622
,,,,,,,
0.16,8,0.272,1.255,-0.193,1.718874,0.6875496,-0.3437748
,,,,,,,
0.16,8,0.374,1.199,-0.408,-0.5156622,0.572958,0.2291832
,,,,,,,
0.16,8,0.002,0.009,-0.009,0,0,0
,,,,,,,
0.16,8,0,0.007,-0.009,0.0572958,0,-0.1145916
,,,,,,,
0.16,8,-0.047,-0.053,-0.11,0.4010706,-1.0886202,-1.145916
,,,,,,,
0.16,8,0.019,0.021,-0.037,-1.9480572,0.0572958,0.4583664
,,,,,,,
0.18,9,0.256,1.258,-0.166,1.6042824,2.8074942,-0.2291832
,,,,,,,
0.18,9,0.368,1.197,-0.407,0.0572958,0.6875496,0.2291832
,,,,,,,
0.18,9,0.002,0.008,-0.008,-0.0572958,0,-0.0572958
,,,,,,,
0.18,9,-0.001,0.007,-0.009,0,0,-0.0572958
,,,,,,,
0.18,9,-0.046,-0.054,-0.109,0,-1.5469866,-1.0886202
,,,,,,,
0.18,9,0.018,0.02,-0.035,-1.432395,-0.4010706,0.4010706
,,,,,,,
0.2,10,0.265,1.255,-0.177,1.0886202,-0.4583664,-0.859437
,,,,,,,
0.2,10,0.365,1.191,-0.405,-0.4010706,0.859437,0.2291832
,,,,,,,
0.2,10,0.003,0.008,-0.008,0,0,-0.1718874
,,,,,,,
0.2,10,0,0.006,-0.008,-0.0572958,-0.1145916,-0.0572958
,,,,,,,
0.2,10,-0.047,-0.055,-0.109,-0.1145916,-2.005353,-0.8021412
,,,,,,,
0.2,10,0.018,0.021,-0.034,-0.9740286,-0.4583664,0.5156622
,,,,,,,
0.22,11,0.255,1.249,-0.157,0.6302538,-2.8074942,-0.9167328
,,,,,,,
0.22,11,0.361,1.187,-0.403,-0.1145916,0.9167328,0.286479
,,,,,,,
0.22,11,0.003,0.006,-0.009,-0.0572958,0.0572958,-0.1718874
,,,,,,,
0.22,11,0,0.006,-0.007,0,-0.1145916,0
,,,,,,,
0.22,11,-0.044,-0.056,-0.107,-0.286479,-2.3491278,-0.6875496
,,,,,,,
0.22,11,0.017,0.021,-0.033,-0.8021412,-0.4010706,0.572958
,,,,,,,
0.24,12,0.262,1.261,-0.161,0.6302538,-3.2085648,-1.3750992
,,,,,,,
0.24,12,0.357,1.183,-0.405,0.0572958,0.859437,0.1718874
,,,,,,,
0.24,12,0.002,0.005,-0.01,0,0,-0.1145916
,,,,,,,
0.24,12,0,0.007,-0.007,0,-0.0572958,0.0572958
,,,,,,,
0.24,12,-0.044,-0.053,-0.107,-0.4010706,-2.7501984,-0.5156622
,,,,,,,
0.24,12,0.018,0.022,-0.031,-1.0886202,-0.4010706,0.4010706
,,,,,,,
0.26,13,0.258,1.259,-0.176,0.9740286,-1.145916,-1.6615782
,,,,,,,
0.26,13,0.359,1.18,-0.409,0.3437748,0.859437,0
,,,,,,,
0.26,13,0.002,0.004,-0.011,0,0,-0.0572958
,,,,,,,
0.26,13,-0.001,0.008,-0.008,0,-0.0572958,0.1145916
,,,,,,,
0.26,13,-0.045,-0.055,-0.107,-0.6302538,-2.9220858,-0.5156622
,,,,,,,
0.26,13,0.016,0.024,-0.032,-2.0626488,-0.4010706,0.286479
,,,,,,,
0.28,14,0.264,1.259,-0.182,1.3178034,0.6302538,-1.432395
,,,,,,,
0.28,14,0.358,1.173,-0.409,0.6875496,0.8021412,0.0572958
,,,,,,,
0.28,14,0.002,0.004,-0.011,0,-0.1145916,-0.0572958
,,,,,,,
0.28,14,0,0.008,-0.007,0,0.0572958,0.0572958
,,,,,,,
0.28,14,-0.046,-0.055,-0.107,-0.7448454,-3.2085648,-0.6875496
,,,,,,,
0.28,14,0.017,0.022,-0.033,-3.0939732,-0.5156622,0.1718874
,,,,,,,
0.3,15,0.259,1.253,-0.185,1.0886202,1.2605076,-1.8334656
,,,,,,,
0.3,15,0.36,1.173,-0.419,1.8334656,1.0886202,0.0572958
,,,,,,,
0.3,15,0.002,0.004,-0.01,0,0,0.0572958
,,,,,,,
0.3,15,0,0.009,-0.007,0,0,0.0572958
,,,,,,,
0.3,15,-0.041,-0.052,-0.108,-0.7448454,-3.2658606,-0.859437
,,,,,,,
0.3,15,0.02,0.017,-0.028,-2.578311,-0.9167328,0
,,,,,,,
0.32,16,0.245,1.244,-0.181,0.8021412,-0.0572958,-1.6615782
,,,,,,,
0.32,16,0.362,1.174,-0.434,3.437748,2.005353,0.5156622
,,,,,,,
0.32,16,0.002,0.005,-0.009,0,-0.1145916,0.1145916
,,,,,,,
0.32,16,-0.001,0.008,-0.007,-0.0572958,0.1145916,0.1145916
,,,,,,,
0.32,16,-0.035,-0.055,-0.108,-0.7448454,-2.7501984,-0.572958
,,,,,,,
0.32,16,0.019,0.021,-0.028,-1.5469866,-1.2605076,0.0572958
,,,,,,,
0.34,17,0.257,1.241,-0.174,1.0886202,-1.3750992,-2.005353
,,,,,,,
0.34,17,0.362,1.171,-0.439,3.9534102,3.0939732,0.6302538
,,,,,,,
0.34,17,0.003,0.006,-0.008,-0.0572958,-0.0572958,0.1145916
,,,,,,,
0.34,17,0,0.007,-0.008,-0.0572958,0,0.0572958
,,,,,,,
0.34,17,-0.039,-0.053,-0.109,-0.5156622,-2.005353,-0.4010706
,,,,,,,
0.34,17,0.017,0.028,-0.038,-3.2658606,-0.1718874,0.3437748
,,,,,,,
0.36,18,0.242,1.25,-0.174,1.2605076,-2.2345362,-1.3750992
,,,,,,,
0.36,18,0.357,1.165,-0.432,4.870143,4.6409598,0.7448454
,,,,,,,
0.36,18,0.002,0.008,-0.008,0.1145916,-0.1145916,0.0572958
,,,,,,,
0.36,18,0,0.007,-0.009,0,-0.1145916,0.0572958
,,,,,,,
0.36,18,-0.043,-0.059,-0.106,-0.4010706,-1.6615782,-0.4583664
,,,,,,,
0.36,18,0.014,0.016,-0.029,-4.010706,-0.9740286,-0.0572958
,,,,,,,
0.38,19,0.235,1.253,-0.19,0.859437,-3.7815228,-1.2605076
,,,,,,,
0.38,19,0.36,1.162,-0.424,6.016059,5.3285094,0.8021412
,,,,,,,
0.38,19,0.001,0.009,-0.007,0.0572958,-0.0572958,0.0572958
,,,,,,,
0.38,19,0,0.009,-0.007,0.0572958,0,0.1145916
,,,,,,,
0.38,19,-0.04,-0.061,-0.106,0,-1.4896908,-0.286479
,,,,,,,
0.38,19,0.02,0.01,-0.022,0.5156622,-1.0313244,-0.1718874
,,,,,,,
0.4,20,0.248,1.249,-0.188,0.4010706,-0.6875496,-1.0313244
,,,,,,,
0.4,20,0.354,1.159,-0.421,8.1360036,6.1306506,0.7448454
,,,,,,,
0.4,20,0.002,0.009,-0.007,0,-0.1718874,0.0572958
,,,,,,,
0.4,20,-0.001,0.01,-0.007,0,0,0.1145916
,,,,,,,
0.4,20,-0.041,-0.051,-0.109,0.3437748,-1.2032118,-0.0572958
,,,,,,,
0.4,20,0.022,0.032,-0.044,-0.5156622,0.1718874,0.2291832
,,,,,,,
0.42,21,0.237,1.246,-0.184,0,1.6042824,-0.7448454
,,,,,,,
0.42,21,0.358,1.161,-0.424,8.8235532,6.589017,0.4583664
,,,,,,,
0.42,21,0.003,0.01,-0.007,-0.1145916,0,-0.0572958
,,,,,,,
0.42,21,-0.001,0.01,-0.008,-0.0572958,0.0572958,0
,,,,,,,
0.42,21,-0.049,-0.05,-0.106,0.1718874,-1.3750992,-0.3437748
,,,,,,,
0.42,21,0.015,0.037,-0.046,-5.7868758,-0.286479,0.3437748
,,,,,,,
0.44,22,0.238,1.236,-0.179,0,-1.0313244,-0.0572958
,,,,,,,
0.44,22,0.359,1.165,-0.425,8.4797784,6.4744254,0.1718874
,,,,,,,
0.44,22,0.003,0.007,-0.008,-0.1145916,0.1145916,-0.1718874
,,,,,,,
0.44,22,0,0.009,-0.009,0,0,-0.0572958
,,,,,,,
0.44,22,-0.047,-0.052,-0.107,0,-1.718874,-0.7448454
,,,,,,,
0.44,22,0.009,0.022,-0.04,-8.307891,-1.4896908,0.1718874
,,,,,,,
0.46,23,0.243,1.24,-0.178,0.859437,-0.3437748,0.4010706
,,,,,,,
0.46,23,0.359,1.169,-0.424,7.6776372,6.016059,0.286479
,,,,,,,
0.46,23,0,0.004,-0.009,-0.0572958,0.1145916,-0.1145916
,,,,,,,
0.46,23,-0.001,0.008,-0.009,0,0,-0.0572958
,,,,,,,
0.46,23,-0.041,-0.05,-0.107,-0.2291832,-1.6615782,-0.286479
,,,,,,,
0.46,23,0.017,0.008,-0.03,-4.4117766,-1.8334656,0
,,,,,,,
0.48,24,0.235,1.24,-0.187,1.5469866,1.2032118,0.3437748
,,,,,,,
0.48,24,0.358,1.173,-0.441,5.0420304,6.1306506,0.1718874
,,,,,,,
0.48,24,0.001,0.005,-0.009,0.1145916,0,0
,,,,,,,
0.48,24,-0.001,0.008,-0.008,0.1718874,-0.0572958,0
,,,,,,,
0.48,24,-0.04,-0.054,-0.104,-0.6302538,-1.2605076,0.1145916
,,,,,,,
0.48,24,0.023,0.014,-0.03,-0.859437,-0.6875496,0.0572958
,,,,,,,
0.5,25,0.245,1.242,-0.186,1.8334656,-0.0572958,0.1718874
,,,,,,,
0.5,25,0.358,1.143,-0.428,4.9847346,6.1879464,-0.0572958
,,,,,,,
0.5,25,0.003,0.006,-0.009,0.1718874,-0.0572958,0.0572958
,,,,,,,
0.5,25,0,0.008,-0.007,0,0,0
,,,,,,,
0.5,25,-0.04,-0.057,-0.105,-0.7448454,-0.7448454,0.286479
,,,,,,,
0.5,25,0.02,0.022,-0.032,-0.9740286,-0.6875496,0.3437748
,,,,,,,
0.52,26,0.247,1.233,-0.183,2.0626488,3.6669312,0.0572958
,,,,,,,
0.52,26,0.353,1.151,-0.409,7.448454,5.6722842,-0.0572958
,,,,,,,
0.52,26,0.003,0.007,-0.008,0.1145916,0,0
,,,,,,,
0.52,26,-0.002,0.008,-0.007,0,0,-0.0572958
,,,,,,,
0.52,26,-0.041,-0.056,-0.104,-0.6302538,-0.2291832,0
,,,,,,,
0.52,26,0.017,0.023,-0.031,-1.7761698,-1.2605076,0.286479
,,,,,,,
0.54,27,0.249,1.233,-0.179,2.1199446,4.4117766,-0.572958
,,,,,,,
0.54,27,0.353,1.17,-0.414,7.9068204,4.5263682,0.286479
,,,,,,,
0.54,27,0.002,0.007,-0.008,0.0572958,0.0572958,-0.0572958
,,,,,,,
0.54,27,-0.001,0.006,-0.007,-0.0572958,0,-0.0572958
,,,,,,,
0.54,27,-0.041,-0.056,-0.104,-0.572958,0.1718874,-0.2291832
,,,,,,,
0.54,27,0.016,0.022,-0.028,-2.4064236,-1.6042824,0.1145916
,,,,,,,
0.56,28,0.242,1.234,-0.177,2.4064236,4.4690724,-1.0313244
,,,,,,,
0.56,28,0.354,1.168,-0.411,5.0993262,2.5210152,0.4583664
,,,,,,,
0.56,28,0.001,0.005,-0.009,0,0.1145916,0
,,,,,,,
0.56,28,-0.001,0.006,-0.007,0,0,0
,,,,,,,
0.56,28,-0.042,-0.053,-0.105,-0.5156622,0.4010706,-0.4010706
,,,,,,,
0.56,28,0.017,0.023,-0.026,-2.7501984,-1.0313244,0
,,,,,,,
0.58,29,0.236,1.233,-0.19,2.578311,3.8961144,-1.0313244
,,,,,,,
0.58,29,0.355,1.16,-0.415,2.9220858,1.145916,0.286479
,,,,,,,
0.58,29,0.003,0.005,-0.01,0,0.1145916,0
,,,,,,,
0.58,29,0,0.006,-0.008,0,0,0
,,,,,,,
0.58,29,-0.042,-0.048,-0.107,-0.6875496,0.7448454,-0.2291832
,,,,,,,
0.58,29,0.018,0.023,-0.027,-3.2085648,-0.1718874,-0.1145916
,,,,,,,
0.6,30,0.235,1.234,-0.195,2.9220858,4.5263682,-0.572958
,,,,,,,
0.6,30,0.357,1.157,-0.423,2.578311,0.1145916,0.3437748
,,,,,,,
0.6,30,0.002,0.005,-0.009,-0.0572958,0,-0.0572958
,,,,,,,
0.6,30,0,0.006,-0.008,0,-0.0572958,0
,,,,,,,
0.6,30,-0.044,-0.046,-0.105,-1.0886202,0.9740286,-0.0572958
,,,,,,,
0.6,30,0.017,0.021,-0.03,-3.3804522,-0.286479,-0.1718874
,,,,,,,
0.62,31,0.236,1.241,-0.199,3.3231564,5.8441716,-0.3437748
,,,,,,,
0.62,31,0.355,1.152,-0.433,2.1772404,-0.7448454,0.5156622
,,,,,,,
0.62,31,0.002,0.005,-0.009,-0.1145916,0,0
,,,,,,,
0.62,31,0,0.007,-0.008,0.0572958,0,0
,,,,,,,
0.62,31,-0.042,-0.054,-0.104,-1.3750992,0.9740286,0.2291832
,,,,,,,
0.62,31,0.018,0.015,-0.027,-1.6042824,-0.859437,-0.4010706
,,,,,,,
0.64,32,0.218,1.251,-0.216,2.3491278,3.724227,0.0572958
,,,,,,,
0.64,32,0.357,1.148,-0.439,1.5469866,-1.3178034,0.3437748
,,,,,,,
0.64,32,0.001,0.004,-0.01,-0.1718874,-0.0572958,0
,,,,,,,
0.64,32,-0.001,0.008,-0.008,0.1145916,-0.0572958,0.1145916
,,,,,,,
0.64,32,-0.04,-0.052,-0.105,-1.2605076,0.9740286,0.6302538
,,,,,,,
0.64,32,0.017,0.017,-0.032,-0.286479,-0.3437748,0
,,,,,,,
0.66,33,0.199,1.248,-0.246,-0.1718874,5.6149884,2.8074942
,,,,,,,
0.66,33,0.359,1.146,-0.445,1.5469866,-1.4896908,0.4583664
,,,,,,,
0.66,33,0.002,0.005,-0.009,-0.0572958,-0.0572958,0.0572958
,,,,,,,
0.66,33,-0.001,0.009,-0.008,0.1145916,0,0.0572958
,,,,,,,
0.66,33,-0.044,-0.053,-0.104,-1.145916,1.0886202,0.6875496
,,,,,,,
0.66,33,0.018,0.023,-0.032,-0.286479,-0.1145916,0
,,,,,,,
0.68,34,0.196,1.225,-0.23,-1.432395,6.1306506,3.724227
,,,,,,,
0.68,34,0.364,1.148,-0.453,4.2398892,-0.9740286,1.5469866
,,,,,,,
0.68,34,0.003,0.006,-0.007,0,-0.1145916,0.0572958
,,,,,,,
0.68,34,0,0.008,-0.007,-0.1145916,0,0
,,,,,,,
0.68,34,-0.041,-0.054,-0.104,-1.145916,0.859437,0.6302538
,,,,,,,
0.68,34,0.013,0.023,-0.035,-1.3178034,-0.572958,-0.1718874
,,,,,,,
0.7,35,0.216,1.237,-0.215,-3.9534102,-0.3437748,3.5523396
,,,,,,,
0.7,35,0.36,1.153,-0.458,6.3598338,-0.4010706,2.8074942
,,,,,,,
0.7,35,0.002,0.006,-0.006,-0.0572958,0,0
,,,,,,,
0.7,35,-0.001,0.007,-0.006,-0.1145916,0,0
,,,,,,,
0.7,35,-0.036,-0.054,-0.103,-0.9740286,0.9740286,0.7448454
,,,,,,,
0.7,35,0.017,0.018,-0.031,-0.9740286,-0.4010706,0
,,,,,,,
0.72,36,0.249,1.236,-0.184,-4.5263682,-8.3651868,3.437748
,,,,,,,
0.72,36,0.355,1.138,-0.456,7.5057498,-0.3437748,2.9220858
,,,,,,,
0.72,36,0.001,0.007,-0.007,0,0,0
,,,,,,,
0.72,36,-0.001,0.007,-0.006,0.0572958,0.0572958,0
,,,,,,,
0.72,36,-0.039,-0.056,-0.102,-1.0313244,1.0313244,1.2605076
,,,,,,,
0.72,36,0.018,0.017,-0.028,0.0572958,0.0572958,0
,,,,,,,
0.74,37,0.267,1.231,-0.167,-3.0939732,-11.5164558,2.0626488
,,,,,,,
0.74,37,0.358,1.128,-0.458,7.6203414,-0.1145916,2.1772404
,,,,,,,
0.74,37,0.002,0.007,-0.006,0,0,0
,,,,,,,
0.74,37,-0.001,0.009,-0.007,0.1145916,-0.0572958,0.0572958
,,,,,,,
0.74,37,-0.044,-0.056,-0.104,-0.8021412,0.572958,1.3178034
,,,,,,,
0.74,37,0.017,0.017,-0.028,0.859437,-0.4583664,0
,,,,,,,
0.76,38,0.265,1.227,-0.163,-1.145916,-7.3911582,1.6042824
,,,,,,,
0.76,38,0.355,1.124,-0.461,6.016059,-0.1145916,1.145916
,,,,,,,
0.76,38,0.002,0.006,-0.007,-0.0572958,0,0
,,,,,,,
0.76,38,-0.001,0.009,-0.007,0,0,0
,,,,,,,
0.76,38,-0.044,-0.05,-0.104,-0.9167328,-0.1145916,1.3178034
,,,,,,,
0.76,38,0.014,0.021,-0.029,0.572958,-0.6302538,0.1145916
,,,,,,,
0.78,39,0.25,1.228,-0.169,0,-2.4064236,1.0313244
,,,,,,,
0.78,39,0.357,1.133,-0.468,4.4117766,0,0.6875496
,,,,,,,
0.78,39,0.001,0.005,-0.008,0,0,-0.0572958
,,,,,,,
0.78,39,-0.001,0.008,-0.006,-0.1145916,0.0572958,0
,,,,,,,
0.78,39,-0.042,-0.048,-0.104,-1.145916,-0.6302538,1.0886202
,,,,,,,
0.78,39,0.015,0.023,-0.031,0,-0.5156622,0
,,,,,,,
0.8,40,0.247,1.229,-0.182,-0.5156622,-2.4637194,0.8021412
,,,,,,,
0.8,40,0.364,1.137,-0.473,1.718874,0.1145916,0.5156622
,,,,,,,
0.8,40,0.001,0.005,-0.009,0,0,-0.0572958
,,,,,,,
0.8,40,-0.001,0.007,-0.006,-0.0572958,0.1145916,0
,,,,,,,
0.8,40,-0.036,-0.049,-0.104,-1.4896908,-0.9167328,0.8021412
,,,,,,,
0.8,40,0.016,0.023,-0.032,-0.8021412,-0.0572958,-0.1145916
,,,,,,,
0.82,41,0.247,1.224,-0.195,-1.3750992,-3.8388186,0.6302538
,,,,,,,
0.82,41,0.369,1.125,-0.478,1.0313244,0.572958,0.5156622
,,,,,,,
0.82,41,0.002,0.004,-0.009,0,-0.1145916,0
,,,,,,,
0.82,41,-0.001,0.007,-0.007,0,0.0572958,0
,,,,,,,
0.82,41,-0.032,-0.046,-0.103,-1.8907614,-0.572958,0.286479
,,,,,,,
0.82,41,0.017,0.021,-0.033,-1.145916,0.3437748,-0.1145916
,,,,,,,
0.84,42,0.262,1.228,-0.18,-0.7448454,-3.2085648,0
,,,,,,,
0.84,42,0.358,1.116,-0.474,2.291832,1.2032118,0.6875496
,,,,,,,
0.84,42,0.002,0.004,-0.009,0,0,0.0572958
,,,,,,,
0.84,42,-0.001,0.006,-0.008,0.0572958,0,0
,,,,,,,
0.84,42,-0.031,-0.048,-0.102,-2.291832,0,-0.286479
,,,,,,,
0.84,42,0.018,0.02,-0.033,-1.0313244,0.0572958,-0.0572958
,,,,,,,
0.86,43,0.246,1.228,-0.186,0.9167328,-1.0313244,0.1145916
,,,,,,,
0.86,43,0.353,1.115,-0.473,4.2398892,1.718874,0.2291832
,,,,,,,
0.86,43,0.002,0.005,-0.008,0,0,0.0572958
,,,,,,,
0.86,43,0,0.006,-0.008,0,0,0
,,,,,,,
0.86,43,-0.035,-0.053,-0.101,-2.4637194,0.5156622,-0.9740286
,,,,,,,
0.86,43,0.018,0.017,-0.03,-0.2291832,-0.2291832,0
,,,,,,,
0.88,44,0.234,1.228,-0.208,0.9740286,0.8021412,0.0572958
,,,,,,,
0.88,44,0.357,1.127,-0.475,5.0993262,2.1199446,0.286479
,,,,,,,
0.88,44,0.001,0.006,-0.008,0,-0.1145916,0.1145916
,,,,,,,
0.88,44,0,0.006,-0.008,0.0572958,-0.0572958,0
,,,,,,,
0.88,44,-0.037,-0.052,-0.1,-2.4064236,0.8021412,-1.2032118
,,,,,,,
0.88,44,0.018,0.019,-0.032,0.6875496,-0.286479,0.1145916
,,,,,,,
0.9,45,0.231,1.22,-0.208,0.3437748,1.0313244,0
,,,,,,,
0.9,45,0.357,1.131,-0.472,3.8961144,2.005353,0.1718874
,,,,,,,
0.9,45,0.002,0.008,-0.007,0,0,0.0572958
,,,,,,,
0.9,45,0,0.005,-0.008,0,0,0.1145916
,,,,,,,
0.9,45,-0.04,-0.049,-0.099,-2.291832,0.9740286,-0.9740286
,,,,,,,
0.9,45,0.017,0.021,-0.033,0.4583664,-0.3437748,0.2291832
,,,,,,,
0.92,46,0.236,1.219,-0.2,-0.1145916,0.9167328,0.3437748
,,,,,,,
0.92,46,0.349,1.13,-0.465,2.4637194,1.4896908,0.286479
,,,,,,,
0.92,46,0.002,0.008,-0.007,0.0572958,-0.1145916,0
,,,,,,,
0.92,46,-0.001,0.007,-0.007,0.0572958,-0.1145916,0
,,,,,,,
