"TimeStamp","FrameCounter","AccX","AccY","AccZ","GyrX","GyrY","GyrZ"
"0.005","1","0.263","0.875","1.368","-4.2398891999999995","-12.6623718","-3.6669312"
"0.005","1","0.334","-0.187","0.178","6.9327917999999995","1.145916","2.8074942000000003"
"0.005","1","-0.115","-0.209","0.043","2.1772404","0.4583664","-0.6302538"
"0.005","1","0.022","0.067","-0.324","-9.6829902","20.798375399999998","1.5469865999999999"
"0.005","1","-0.224","-0.066","-0.194","-2.578311","-15.412570200000001","-2.6356068"
"0.005","1","-0.038","-0.027","-0.211","-3.2085648","-3.8961144","-0.2291832"
"0.01","2","0.259","0.887","1.373","-4.1825934","-12.032117999999999","-3.8961144"
"0.01","2","0.331","-0.186","0.178","8.5370742","0.8021412","2.9793816"
"0.01","2","-0.114","-0.205","0.045","2.1199445999999997","0.6875496","-0.6302538"
"0.01","2","0.028","0.037","-0.262","-0.4583664","-0.4010706","0.286479"
"0.01","2","-0.227","-0.031","-0.405","3.2658606","-25.725814200000002","8.307891"
"0.01","2","-0.034","-0.028","-0.162","-0.6875496","3.4950438","-0.4583664"
"0.015","3","0.258","0.894","1.373","-3.437748","-8.880849","-3.724227"
"0.015","3","0.331","-0.18","0.178","9.797581800000001","0.9740286","3.3804521999999997"
"0.015","3","-0.112","-0.196","0.044","2.0626488","1.0886202","-0.4010706"
"0.015","3","0.023","0.03","-0.263","-0.8021412","-0.6302538","0.0572958"
"0.015","3","-0.216","-0.031","-0.408","3.437748","-26.356068","9.740286000000001"
"0.015","3","-0.036","-0.037","-0.157","-0.1145916","4.297185","-0.8021412"
"0.02","4","0.259","0.899","1.374","-2.9793816","-6.875496","-3.724227"
"0.02","4","0.326","-0.175","0.178","10.9434978","0.859437","3.7815228000000003"
"0.02","4","-0.107","-0.189","0.038","2.1199445999999997","1.145916","-0.1145916"
"0.02","4","0.023","0.027","-0.264","-0.9167328","-0.859437","0.2291832"
"0.02","4","-0.211","-0.029","-0.407","3.3231564000000002","-26.585251200000002","10.599723"
"0.02","4","-0.037","-0.042","-0.16","0.7448454","4.8128472","-0.9740286"
"0.025","5","0.256","0.9","1.375","-2.8074942000000003","-4.6409598","-3.5523396"
"0.025","5","0.323","-0.17","0.18","11.4018642","0.7448454","4.010706000000001"
"0.025","5","-0.102","-0.185","0.03","1.7761698","1.2032118","-0.1145916"
"0.025","5","0.026","0.027","-0.264","-0.9167328","-0.9167328","0.1718874"
"0.025","5","-0.208","-0.028","-0.409","3.4950438","-26.814434400000003","11.229976800000001"
"0.025","5","-0.038","-0.042","-0.159","1.6042824","5.6722842","-1.0886202"
"0.03","6","0.247","0.9","1.374","-2.3491278","-2.3491278","-3.2658606"
"0.03","6","0.317","-0.162","0.183","11.45916","0.6875496","4.4117766"
"0.03","6","-0.098","-0.187","0.023","1.0313244","1.7761698","-0.286479"
"0.03","6","0.031","0.026","-0.263","-0.6875496","-0.9740286","0.286479"
"0.03","6","-0.207","-0.032","-0.408","3.2658606","-26.7571386","11.688343199999998"
"0.03","6","-0.04","-0.05","-0.162","2.2345362","6.2452422","-0.9740286"
"0.035","7","0.239","0.893","1.374","-2.0626488","-0.8021412","-3.0939731999999998"
"0.035","7","0.314","-0.161","0.187","10.7143146","0.8021412","4.6982556"
"0.035","7","-0.099","-0.195","0.022","0.0","2.3491278","-0.9167328"
"0.035","7","0.033","0.026","-0.26","-0.3437748","-1.0886202","0.286479"
"0.035","7","-0.208","-0.039","-0.408","3.3231564000000002","-26.699842800000003","11.8602306"
"0.035","7","-0.041","-0.06","-0.158","2.1199445999999997","6.703608600000001","-1.0313244"
"0.04","8","0.23","0.879","1.377","-1.9480572","0.572958","-2.7501984"
"0.04","8","0.314","-0.164","0.194","10.1986524","0.572958","4.8701430000000006"
"0.04","8","-0.101","-0.201","0.02","-0.4010706","2.578311","-0.9740286"
