"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.01","1","0.064","-0.437","-0.684","0.5612","-0.20129999999999998","-0.6809999999999999","0.42489999999999994"
"0.01","1","0.412","0.028","-0.867","0.9856","-0.10189999999999999","-0.1044","0.0853"
"0.01","1","-0.004","-0.992","-0.006","0.6323000000000001","-0.6618999999999999","-0.2925","-0.2761"
"0.01","1","0.279","-0.928","0.149","0.6143","-0.7190000000000001","-0.32330000000000003","-0.032100000000000004"
"0.01","1","-1.024","0.078","0.07","-0.2113","0.6208","-0.20539999999999997","0.7263"
"0.01","1","0.067","0.987","-0.067","0.6272","0.6212","0.29159999999999997","-0.3681"
"0.02","2","-0.143","-0.469","-0.821","0.562","-0.2037","-0.6795","0.42510000000000003"
"0.02","2","0.336","0.039","-0.871","0.9855","-0.1014","-0.1048","0.0862"
"0.02","2","-0.004","-0.989","-0.008","0.6324","-0.6616","-0.2931","-0.2762"
"0.02","2","0.296","-0.931","0.083","0.6136999999999999","-0.7191","-0.3241","-0.032"
"0.02","2","-1.031","0.075","0.072","-0.2109","0.6214000000000001","-0.2042","0.7263"
"0.02","2","0.064","0.986","-0.073","0.6275000000000001","0.6202","0.2919","-0.369"
"0.03","3","-0.153","-0.487","-0.845","0.5628","-0.2056","-0.6785","0.4248"
"0.03","3","0.333","0.032","-0.875","0.9853999999999999","-0.1008","-0.1055","0.0871"
"0.03","3","-0.005","-0.99","-0.01","0.6324","-0.6612","-0.29369999999999996","-0.2763"
"0.03","3","0.298","-0.923","0.083","0.6131","-0.7192999999999999","-0.32480000000000003","-0.0319"
"0.03","3","-1.035","0.07","0.073","-0.2105","0.6219","-0.20299999999999999","0.7264"
"0.03","3","0.061","0.978","-0.082","0.6279","0.6192","0.2922","-0.3699"
"0.04","4","-0.149","-0.471","-0.877","0.5636","-0.2071","-0.6779","0.4239"
"0.04","4","0.336","0.032","-0.872","0.9853","-0.0999","-0.1062","0.088"
"0.04","4","-0.004","-0.989","-0.01","0.6325000000000001","-0.6609","-0.2943","-0.2764"
"0.04","4","0.298","-0.92","0.085","0.6126","-0.7194","-0.3256","-0.0319"
"0.04","4","-1.04","0.066","0.073","-0.21000000000000002","0.6223","-0.20179999999999998","0.7264999999999999"
"0.04","4","0.059","0.979","-0.089","0.628","0.6184000000000001","0.2926","-0.3706"
"0.05","5","-0.141","-0.439","-0.894","0.5644","-0.2084","-0.6777","0.4226"
"0.05","5","0.337","0.054","-0.885","0.9853","-0.0989","-0.1071","0.0889"
"0.05","5","-0.004","-0.99","-0.011","0.6325000000000001","-0.6606","-0.2949","-0.2765"
"0.05","5","0.3","-0.92","0.084","0.6121000000000001","-0.7195","-0.32639999999999997","-0.0318"
"0.05","5","-1.042","0.065","0.073","-0.2096","0.6227","-0.20049999999999998","0.7266"
"0.05","5","0.061","0.987","-0.089","0.628","0.6178","0.29300000000000004","-0.3713"
"0.06","6","-0.14","-0.421","-0.905","0.5652","-0.2096","-0.6775","0.4213"
"0.06","6","0.33","0.076","-0.926","0.9852000000000001","-0.0978","-0.1078","0.09"
"0.06","6","-0.005","-0.987","-0.014","0.6325999999999999","-0.6602","-0.2955","-0.2766"
"0.06","6","0.3","-0.918","0.082","0.6115","-0.7196","-0.3271","-0.0317"
"0.06","6","-1.038","0.065","0.069","-0.2091","0.623","-0.1993","0.7268"
"0.06","6","0.064","0.991","-0.08","0.628","0.6172","0.2935","-0.3719"
"0.07","7","-0.144","-0.417","-0.903","0.5659","-0.211","-0.6772","0.4202"
"0.07","7","0.296","0.092","-1.004","0.9852000000000001","-0.0968","-0.10769999999999999","0.0913"
"0.07","7","-0.007","-0.986","-0.011","0.6325999999999999","-0.6599","-0.296","-0.2767"
"0.07","7","0.301","-0.918","0.085","0.611","-0.7197","-0.3278","-0.0317"
"0.07","7","-1.035","0.06","0.064","-0.20859999999999998","0.6233","-0.198","0.7271"
"0.07","7","0.068","0.994","-0.071","0.6281","0.6166","0.2939","-0.3724"
"0.08","8","-0.153","-0.405","-0.905","0.5665","-0.2124","-0.6767000000000001","0.41929999999999995"
"0.08","8","0.267","0.1","-1.059","0.9851000000000001","-0.096","-0.10740000000000001","0.09290000000000001"
"0.08","8","-0.007","-0.99","-0.01","0.6327","-0.6595","-0.29660000000000003","-0.2767"
"0.08","8","0.304","-0.923","0.087","0.6106","-0.7198","-0.3285","-0.0317"
"0.08","8","-1.032","0.052","0.061","-0.2082","0.6234","-0.1967","0.7274"
"0.08","8","0.067","0.992","-0.07","0.6282","0.6159","0.2943","-0.373"
"0.09","9","-0.158","-0.394","-0.907","0.5671","-0.21389999999999998","-0.6761","0.4187"
"0.09","9","0.262","0.1","-1.041","0.985","-0.0955","-0.10740000000000001","0.0944"
"0.09","9","-0.011","-0.992","-0.011","0.6327","-0.6592","-0.29710000000000003","-0.2768"
"0.09","9","0.302","-0.927","0.085","0.6101","-0.7199","-0.3292","-0.0316"
"0.09","9","-1.028","0.049","0.059","-0.20779999999999998","0.6235999999999999","-0.1955","0.7277"
