AccX,AccY,AccZ,GyrX,GyrY,GyrZ
-0.00192207,-0.99291587,0.1366604,0.04182237,-0.00485058,-0.04897589
-0.00581238,-0.98158956,-0.18771729,0.05814613,0.00079654,-0.05756646
0.08609792,-0.94815993,0.31080776,-0.26364678,0.00377813,0.13602385
-0.00640343,-0.99885452,0.04541206,0.4160634,-0.11258941,-0.02601933
-0.00501885,-0.98706597,0.16482273,2.80E-07,-1.00E-07,-2.40E-07
0.00378877,-0.91906852,-0.38761961,4.33915901,-0.04380626,0.04192241
-0.00181815,-0.99230367,0.14085871,0.47287449,-0.02399329,-0.01328124
-0.00579151,-0.98061204,-0.18469816,0.17660505,-0.05816326,0.05655577
0.08412327,-0.94815624,0.30522636,-0.85884494,0.0519068,0.46509367
-0.00707651,-0.99958247,0.04524313,-0.29853064,-0.09641481,-0.04668695
-0.00501516,-0.98707622,0.16582215,2.80E-07,-1.00E-07,-2.40E-07
0.00379362,-0.92110229,-0.38264036,3.51825881,-0.04594136,-0.01280549
-0.00258273,-0.99215311,0.14195636,-0.2817848,-0.00378564,-0.04950741
-0.00579674,-0.98161507,-0.18471003,-2.60E-07,-1.20E-07,3.00E-07
0.0809369,-0.94851017,0.30196881,-0.55206925,0.07053352,0.32719052
-0.00718882,-0.99875069,0.03938212,-0.0132587,0.05941085,0.00887284
-0.00501516,-0.98707622,0.16582215,2.80E-07,-1.00E-07,-2.40E-07
0.00280226,-0.92214334,-0.37664941,0.87933904,0.05947387,-0.00252114
-0.00272542,-0.99217236,0.14021078,0.00486829,-0.04033905,0.03846526
-0.0067921,-0.98160881,-0.18470307,-0.05872902,0.00016549,0.00017871
0.08475096,-0.94872475,0.30640844,0.4766185,0.02616023,-0.27913645
-0.00672209,-0.99970317,0.04245973,0.46891251,0.02494527,0.06332669
-0.00500678,-0.98608285,0.16583297,2.80E-07,-1.00E-07,-2.40E-07
0.00280777,-0.92317182,-0.37265971,-2.11140347,0.16419746,-0.04859953
-0.00282155,-0.99106401,0.14282019,0.4009859,-0.04099582,-0.03099831
-0.00779268,-0.98159403,-0.18569855,0.11762059,0.05637264,-5.89E-05
0.08415779,-0.94856495,0.30832082,0.09639421,-0.08122158,-0.03727454
-0.00726717,-0.99956441,0.04634345,0.20131002,-0.07909113,0.02592653
-0.00501516,-0.98707622,0.16582215,2.80E-07,-1.00E-07,-2.40E-07
0.00481103,-0.92116684,-0.37464112,-5.51167154,-0.01656984,-0.0383793
-0.00352333,-0.9926886,0.14644447,-0.08432373,-0.00475884,-0.01412598
-0.00679732,-0.98160028,-0.1857055,-2.60E-07,-1.20E-07,3.00E-07
0.08251748,-0.9485051,0.3071515,-0.46269956,-0.01598371,0.29215923
-0.00742797,-0.99870366,0.0432052,-0.45959243,-0.01030898,-0.02899142
-0.00501516,-0.98707622,0.16582215,2.80E-07,-1.00E-07,-2.40E-07
0.00378877,-0.91906852,-0.38761961,-8.5610342,0.08758234,-0.02666446
-0.0029871,-0.99249101,0.14314447,-0.62344253,0.04905602,0.00272842
-0.00679212,-0.9826203,-0.1837125,0.00016307,0.05670388,0.00029794
0.08107656,-0.94832677,0.30394912,-0.40879673,-0.03327839,0.27488843
-0.00727158,-0.99949396,0.03777901,-0.17443806,0.0058441,0.09520052
-0.00501516,-0.98707622,0.16582215,2.80E-07,-1.00E-07,-2.40E-07
0.00777485,-0.91800469,-0.39761415,-8.44606686,0.82474625,0.15276745
-0.00346853,-0.99190885,0.13751453,-0.30063543,-0.02193288,0.03803392
-0.00481179,-0.98160434,-0.18672183,-0.05872902,0.00016549,0.00017871
0.08184309,-0.94892472,0.30285195,-0.04565063,0.16138481,0.01601174
-0.00710429,-0.99976611,0.0401313,0.54066747,0.02583403,0.01108304
-0.00501516,-0.98707622,0.16582215,2.80E-07,-1.00E-07,-2.40E-07
0.00776654,-0.91495031,-0.40558308,-5.98598862,1.68031645,0.67064673
-0.00263774,-0.9926579,0.14011575,0.47257566,-0.02431571,0.02177537
-0.00581238,-0.98158956,-0.18771729,0.0587285,-0.00016574,-0.00017812
0.08143806,-0.94830918,0.30465195,0.29547054,-0.04452522,-0.1757776
-0.0080902,-0.99910212,0.04613129,0.43350244,0.00828825,0.01040046
-0.00501885,-0.98706597,0.16482273,2.80E-07,-1.00E-07,-2.40E-07
-0.00324084,-0.91291702,-0.40654957,-4.10844517,1.28950059,0.54512048
-0.00320037,-0.9916479,0.14452681,0.22105467,-0.04056539,-0.0137653
-0.00480658,-0.9816128,-0.1857194,0.23491478,-0.0006626,-0.00071335
0.08305005,-0.94863361,0.30520865,0.34968027,-0.02712128,-0.19280241
-0.00841851,-0.9989655,0.04496885,-0.01288603,-0.18352044,0.02382663
-0.00501885,-0.98706597,0.16482273,2.80E-07,-1.00E-07,-2.40E-07
-0.00224192,-0.91291207,-0.40755078,-3.05079198,0.55790025,0.073657
-0.00412173,-0.99282479,0.14448057,-0.17308681,0.1521405,-0.01363774
-0.00480139,-0.98263282,-0.1837264,-2.60E-07,-1.20E-07,3.00E-07
0.08360142,-0.94824666,0.30546325,-0.04631159,0.05811854,-0.01974499
-0.00831876,-0.99946791,0.04358491,-0.03128854,0.0937952,0.02668249
-0.00501516,-0.98707622,0.16582215,2.80E-07,-1.00E-07,-2.40E-07
0.0027527,-0.91288722,-0.41255671,-0.7034353,-0.05893261,0.00190819
-0.00354478,-0.99147356,0.14103693,-0.1930411,-0.03984946,0.05566875
-0.00579674,-0.98161507,-0.18471003,-0.05931138,0.00112778,-0.05720964
0.0842178,-0.94821131,0.30477032,-0.17302568,0.07298989,0.11960909
-0.00732742,-0.99853629,0.04192368,-0.06663162,0.04246932,-0.02661112
-0.00401833,-0.98708469,0.16581985,2.80E-07,-1.00E-07,-2.40E-07
0.00375228,-0.9118771,-0.41454744,2.16984248,-0.10685872,-0.00864943
-0.00400843,-0.99223059,0.1413032,0.22165711,0.06367573,0.00418693
-0.00481181,-0.98261577,-0.18573126,-2.60E-07,-1.20E-07,3.00E-07
0.08354527,-0.94871479,0.30423909,-0.15416428,0.05883887,-0.02046792
-0.00748139,-0.99993515,0.04162512,0.0582405,0.04221734,0.00902175
-0.00401833,-0.98708469,0.16581985,2.80E-07,-1.00E-07,-2.40E-07
0.00476427,-0.91393673,-0.40656918,4.69077158,0.0144347,-0.01634847
-0.00412957,-0.99237967,0.14099514,0.18494889,-0.04060827,0.00370395
-0.00579672,-0.98060352,-0.1857006,0.0587285,-0.00016574,-0.00017812
0.08256898,-0.94837642,0.30447885,0.06131703,-0.01075465,-0.07204204
-0.00671584,-0.99941868,0.04160774,0.0228051,-0.06161042,-0.00977209
-0.00401833,-0.98708469,0.16581985,2.80E-07,-1.00E-07,-2.40E-07
0.00377916,-0.9180246,-0.3936094,5.51165676,0.01696078,-0.01920946
-0.0026168,-0.9920966,0.14272167,0.11251558,0.01086232,0.10896763
-0.00480137,-0.98162133,-0.18471697,0.0003264,0.11340787,0.00059558
0.08318003,-0.94763416,0.30534783,0.17030333,0.05958144,-0.14086428
-0.00629406,-0.99949175,0.04252706,0.09396925,0.09454036,-0.00778631
-0.00401833,-0.98708469,0.16581985,2.80E-07,-1.00E-07,-2.40E-07
0.00379222,-0.92008924,-0.38462996,4.51486778,0.0138934,-0.0157354
