"TimeStamp","FrameCounter","AccX","AccY","AccZ","GyrX","GyrY","GyrZ"
"0.005","1","-0.269","-0.719","0.485","-1.4896908","-0.286479","-1.3178034"
"0.005","1","-0.088","0.286","-0.02","-10.5424272","0.4010706","3.2658606"
"0.005","1","0.023","0.057","-0.041","0.2291832","-0.1718874","-0.2291832"
"0.005","1","-0.023","0.004","0.047","0.286479","0.1718874","0.0"
"0.005","1","0.009","-0.048","-0.223","-1.4896908","-2.0626488","1.145916"
"0.005","1","-0.056","0.003","-0.139","-1.2032118","0.286479","-0.4010706"
"0.01","2","-0.25","-0.744","0.497","-0.9167328","-2.5210152","-3.8388186"
"0.01","2","-0.09","0.3","-0.016","-9.912173399999999","0.286479","4.010706000000001"
"0.01","2","0.022","0.052","-0.047","0.286479","-0.1718874","0.0"
"0.01","2","-0.023","0.008","0.053","0.6875496","0.0","-0.1145916"
"0.01","2","0.011","-0.047","-0.222","-1.2605076","-2.0053530000000004","1.145916"
"0.01","2","-0.055","0.002","-0.139","-1.0313244","0.286479","-0.4010706"
"0.015","3","-0.247","-0.735","0.481","-0.9740286","-4.2398891999999995","-4.4690724"
"0.015","3","-0.098","0.304","-0.004","-9.3392154","-0.572958","4.6409598"
"0.015","3","0.023","0.053","-0.048","0.286479","0.0","0.0"
"0.015","3","-0.021","0.009","0.053","0.572958","0.0","0.0"
"0.015","3","0.013","-0.045","-0.222","-1.2605076","-1.8907614000000001","1.0886202"
"0.015","3","-0.056","0.0","-0.139","-1.0886202","0.2291832","-0.4583664"
"0.02","4","-0.248","-0.741","0.475","-1.0313244","-4.583664","-4.6409598"
"0.02","4","-0.095","0.297","-0.004","-9.5683986","-0.6302538","5.2712136"
"0.02","4","0.023","0.051","-0.048","0.286479","-0.0572958","-0.0572958"
"0.02","4","-0.021","0.009","0.051","0.3437748","0.1145916","0.0"
"0.02","4","0.014","-0.043","-0.223","-0.9740286","-2.0626488","1.0886202"
"0.02","4","-0.055","0.002","-0.142","-1.0313244","0.1718874","-0.3437748"
"0.025","5","-0.239","-0.744","0.478","-0.4583664","-4.2398891999999995","-4.9847345999999995"
"0.025","5","-0.097","0.294","-0.009","-9.453807000000001","-0.9740286","5.3285094"
"0.025","5","0.022","0.053","-0.05","0.2291832","0.1145916","0.0"
"0.025","5","-0.019","0.008","0.05","0.286479","0.0572958","0.0"
"0.025","5","0.016","-0.042","-0.223","-0.9740286","-1.6042824","0.9740286"
"0.025","5","-0.055","0.0","-0.141","-0.9740286","0.0","-0.4583664"
"0.03","6","-0.236","-0.741","0.47","-0.1718874","-3.0939731999999998","-5.2139178"
"0.03","6","-0.095","0.293","-0.017","-9.453807000000001","-1.3178034","5.3858052"
"0.03","6","0.022","0.054","-0.05","0.2291832","-0.0572958","0.0"
"0.03","6","-0.021","0.009","0.049","0.4010706","0.0","0.0"
