"TimeStamp","FrameCounter","AccX","AccY","AccZ","GyrX","GyrY","GyrZ"
"0.01","1","-0.05","-0.717","0.207","0.3437748","6.1306506","4.8128472"
"0.01","1","-0.454","-0.368","-0.309","-56.722842","7.2765666","-9.912173399999999"
"0.01","1","-0.019","-0.084","0.009","-0.7448454","-0.1145916","-0.1145916"
"0.01","1","-0.055","0.244","-0.201","-19.3659804","-11.3445684","-2.578311"
"0.01","1","0.103","-0.055","-0.224","-2.2345362","-0.8021412","0.3437748"
"0.01","1","0.096","-0.173","-0.54","2.578311","1.6042824","-0.1718874"
"0.02","2","-0.046","-0.71","0.195","0.6875496","4.9274388","3.9534102000000004"
"0.02","2","-0.642","-0.139","0.005","-0.4010706","4.297185","-5.9014674"
"0.02","2","-0.023","-0.083","0.033","-0.572958","0.2291832","-0.286479"
"0.02","2","-0.054","0.349","-0.229","-6.8182002","-5.0420304","3.6096354"
"0.02","2","0.103","-0.062","-0.223","-2.4064236","-0.3437748","0.6302538"
"0.02","2","0.089","-0.167","-0.521","0.5156622","1.145916","-0.3437748"
"0.03","3","-0.038","-0.706","0.197","1.9480572","2.2345362","3.2085648"
"0.03","3","-0.645","-0.119","0.01","0.4010706","3.0939731999999998","-4.4117766"
"0.03","3","-0.027","-0.081","0.032","0.0","-0.1145916","-0.0572958"
"0.03","3","-0.059","0.347","-0.227","-6.3598338","-4.4690724","3.0939731999999998"
"0.03","3","0.097","-0.069","-0.224","-2.7501984","0.0572958","0.6875496"
"0.03","3","0.085","-0.168","-0.522","0.1718874","2.4637194","-0.572958"
"0.04","4","-0.041","-0.72","0.214","2.7501984","0.3437748","2.6929026"
"0.04","4","-0.656","-0.114","0.007","-0.7448454","1.9480572","-3.724227"
"0.04","4","-0.031","-0.078","0.034","0.8021412","-1.3750992","0.1145916"
"0.04","4","-0.061","0.342","-0.227","-5.786875800000001","-3.9534102000000004","2.578311"
"0.04","4","0.097","-0.087","-0.232","-3.0366774","0.5156622","0.6302538"
