"TimeStamp","FrameCounter","AccX","AccY","AccZ","GyrX","GyrY","GyrZ"
"0.01","1","-0.779","-0.507","-0.13","-12.032117999999999","10.4278356","8.9381448"
"0.01","1","0.138","0.177","-0.188","-23.2620948","-4.9847345999999995","10.313244"
"0.01","1","0","0","0","-6.760904399999999","4.297185","-17.8762896"
"0.01","1","-0.029","0.011","-0.02","5.9587632","-0.0572958","5.3858052"
"0.01","1","0.137","0.087","-0.326","10.0840608","7.448454","-7.2192708"
"0.01","1","-0.237","-0.069","-0.68","0.286479","0.0","0.4583664"
"0.02","2","-0.928","-0.159","0.181","-0.1145916","-1.2605076","-0.0572958"
"0.02","2","0.334","0.009","-0.031","3.9534102000000004","-0.4010706","0.0"
"0.02","2","0","0","0","-1.4896908","-0.572958","0.4583664"
"0.02","2","-0.024","0.028","-0.05","0.1718874","-0.4010706","1.3178034"
"0.02","2","0.053","0.148","-0.429","6.9327917999999995","5.0993262","-4.5263682"
"0.02","2","-0.237","-0.069","-0.68","0.2291832","0.3437748","0.3437748"
"0.03","3","-0.914","-0.16","0.176","-0.572958","-1.8907614000000001","0.0572958"
"0.03","3","0.335","0.019","-0.029","2.6356068","-0.4583664","0.1145916"
"0.03","3","0","0","0","-1.3178034","-0.572958","0.4583664"
"0.03","3","0.0","0.036","-0.058","-0.0572958","-0.9740286","0.6302538"
"0.03","3","0.055","0.151","-0.421","4.3544808","3.3231564000000002","-2.86479"
"0.03","3","-0.237","-0.073","-0.68","-0.1145916","0.3437748","0.4010706"
"0.04","4","-0.908","-0.157","0.182","-0.859437","-0.6302538","-0.0572958"
"0.04","4","0.33","0.018","-0.031","1.2605076","-0.286479","-0.286479"
"0.04","4","0","0","0","-1.145916","-0.6875496","0.2291832"
"0.04","4","-0.005","0.029","-0.05","-0.1718874","-0.2291832","0.8021412"
"0.04","4","0.052","0.141","-0.419","2.1772404","1.8334656","-1.7761698"
"0.04","4","-0.238","-0.076","-0.673","0.0572958","0.0","0.5156622"
"0.05","5","-0.908","-0.152","0.196","-1.145916","1.2032118","-0.1145916"
"0.05","5","0.326","0.02","-0.044","0.1718874","-0.3437748","-0.5156622"
"0.05","5","0","0","0","-1.145916","-0.6875496","0.1718874"
"0.05","5","-0.002","0.032","-0.05","-0.1718874","-0.5156622","0.6302538"
"0.05","5","0.04","0.121","-0.413","0.8021412","0.6302538","-0.9167328"
"0.05","5","-0.237","-0.076","-0.669","0.5156622","-0.4010706","0.5156622"
"0.06","6","-0.913","-0.16","0.205","-1.0886202","3.6096354","-0.0572958"
"0.06","6","0.33","0.028","-0.056","-1.145916","-0.3437748","-0.3437748"
"0.06","6","0","0","0","-0.9167328","-0.5156622","0.1145916"
"0.06","6","0.0","0.035","-0.049","-0.1145916","-0.2291832","0.5156622"
"0.06","6","0.035","0.116","-0.405","0.2291832","-0.1145916","-0.3437748"
"0.06","6","-0.237","-0.075","-0.669","0.9740286","-0.2291832","0.4010706"
"0.07","7","-0.915","-0.164","0.2","-0.859437","5.2139178","0.286479"
"0.07","7","0.326","0.026","-0.065","-2.8074942000000003","-0.0572958","0.2291832"
