AccX,AccY,AccZ,GyrX,GyrY,GyrZ
-0.00566304,-0.00508368,-0.00256254,0.0326785,0.0525188,0.00707825
-0.00220691,-0.0304017,-0.00640095,0.0612292,-0.0365824,-0.0443298
-0.00245281,0.00619078,-0.00124791,-0.00716625,-0.0199749,0.0164488
0.0,0.0,0.0,-0.00383145,-0.0194652,0.0175055
0.00437178,-0.00289547,0.00218686,-0.0230632,-0.0261811,0.0372449
0.00612553,0.0070703,-0.000411645,0.000432128,-0.0150391,0.000713411
0.0117521,-0.0139424,-0.0119414,0.0210616,0.0442422,0.00256088
-0.0210763,-0.020255,-0.0337269,0.044118,-0.0268051,-0.0416198
-0.00386535,0.005108,0.00572904,-0.00861536,-0.0225932,0.016449
-0.00570883,0.00201571,-0.00166647,-0.000464495,-0.0138532,0.0181735
-0.000388127,-0.00570482,0.00570597,-0.0204469,-0.027464,0.0379231
0.00461911,0.000274777,-0.00407143,0.00523772,-0.0131324,0.000331896
0.0154211,-0.0135371,-0.00210784,0.0120458,0.0446014,-1.74767e-05
-0.0217425,-0.00702381,-0.031563,-0.00632247,-0.0257212,-0.00422679
0.0,0.0,0.0,-0.00171156,-0.0133028,0.0158575
0.0,0.0,0.0,-0.00386898,-0.00940958,0.0181065
-0.0102392,0.00576174,0.00866639,-0.0083067,-0.0192109,0.0352925
0.00514506,-0.00333142,-0.00583927,0.0165539,-0.0128115,-0.00814392
0.0123919,-0.013198,-0.00227826,0.0250316,0.0422729,0.0167931
-0.0147412,0.00391382,-0.0316926,-0.0551496,-0.0119979,0.0269835
0.000825534,-0.0061844,0.00572105,-0.00242876,-0.00378772,0.0131262
0.00032045,-0.00567341,0.00725118,-0.00537075,-0.0108983,0.0180837
-0.00413198,-0.00464767,0.00942544,0.0027421,9.53499e-05,0.0379115
0.005441,-0.00375879,-0.00888081,0.00928276,-0.00761909,-0.00726634
0.00902674,-0.00879145,-0.00900268,0.0400184,0.0346202,0.0369156
0.00241706,-0.0151042,-0.00230729,-0.0459088,-0.0247949,0.00489226
0.0,0.0,0.0,-0.000424586,-0.00204548,0.0159327
6.89842e-06,0.00343537,0.00459666,-0.00209342,-0.0121401,0.0142642
0.00287678,0.00394559,0.00545922,0.00360453,0.0159975,0.0447358
0.00590381,-0.00108159,-0.00514806,0.00397486,0.00384284,-0.0051138
0.0122611,-0.011191,-0.00807909,0.0358598,0.0171709,0.0316683
0.000925507,-0.0203456,-0.00961477,-0.00717784,-0.0392614,-0.0418019
-0.00532883,0.00248826,0.00447719,0.00117424,0.00163002,0.0141051
0.0,0.0,0.0,0.00125752,-0.0185834,0.0180618
0.00677366,0.00676084,0.00234542,0.00444319,0.0233025,0.0420554
0.00584815,0.00338423,-0.00945793,0.0137909,0.00121886,-0.0120064
0.0100542,-0.0159858,-0.00680768,0.0292582,0.00513964,0.019462
-0.00454662,-0.0159651,-0.0165497,0.00713637,-0.0291083,-0.0661103
-0.00703486,0.0056963,0.00136153,0.00638849,0.00103193,0.0150098
0.00165909,0.00429153,0.00638053,0.000167616,-0.0214645,0.0164954
