AccX,AccY,AccZ,GyrX,GyrY,GyrZ
-0.0124548,0.0052669,-0.0111793,0.00925081,0.00882065,-0.026473
-0.00381375,0.00904393,-0.00726986,0.00625747,0.0403707,-0.0225879
0.00541842,0.00557899,-0.0119519,0.00457271,0.0541807,-0.0188564
0.00541111,0.00773954,-0.00683388,0.00599519,0.0411262,-0.0150986
0.0130884,0.00605679,-0.0012237,0.0126574,0.0352916,-0.00491698
0.0151639,0.000859141,-0.00398186,0.0148956,0.0168864,0.00139268
0.0158778,0.0059222,-0.00346907,0.0230341,-0.00511759,0.00646237
0.00632261,0.0012151,-0.0019964,0.0310829,-0.0181814,0.00924188
0.0052899,-0.00627726,-0.00575203,0.0311821,-0.0197281,0.0129757
-0.00137682,-0.00393379,-0.00577467,0.0272088,-0.0139672,0.0134554
-0.00183187,-0.00358605,-0.00589708,0.0259479,0.00261075,0.0123591
-0.00174678,-0.000958681,-0.00599131,0.0221996,0.0161784,0.0114267
-0.00105192,0.00189686,-0.00482487,0.0174451,0.0269062,0.0110681
0.0,0.0,0.0,0.0132279,0.0366828,0.011943
0.00246787,7.76e-05,0.00621131,0.0108477,0.0405254,0.0137051
0.00204925,0.0047071,0.00849129,0.0116686,0.0351706,0.016255
0.00397687,0.00293911,0.00659826,0.0162309,0.0302512,0.0196757
0.00359388,-0.00414789,0.00524285,0.0231657,0.0236676,0.0223329
0.00243322,-0.00956267,0.0135014,0.0208804,0.0175553,0.0266381
0.00759097,-5.25e-05,0.00560233,0.0159944,0.0119112,0.0316125
0.00538671,-0.000431299,0.00271981,0.0122401,0.00524722,0.030547
0.0,0.0,0.0,0.00773088,0.0176191,0.0274981
-0.00817355,-0.00594759,0.00471188,0.00270947,0.0375944,0.0243168
-0.00395239,-0.00135738,0.0057482,-0.00472717,0.0500763,0.0241271
0.00146604,0.0025413,0.00786767,-0.00783217,0.0546249,0.0249406
0.00348703,0.0015502,0.011868,-0.00201751,0.0471417,0.0260412
0.00593142,-0.00480109,0.00651294,-0.00178188,0.0347244,0.0244652
0.0080165,-0.00218707,0.00232584,-0.00189807,0.0226669,0.0190586
0.00842594,0.000141859,-0.000268569,0.00122071,0.00982213,0.0156152
0.00936508,-0.00307149,-0.000174167,-0.000127119,0.000333186,0.0125137
0.0107806,-0.00219083,0.000641805,-0.00511382,-0.013079,0.0047114
0.0,0.0,0.0,-0.00711162,-0.0148618,0.000447636
-0.00893182,-0.00462133,0.00455503,-0.00975053,-0.00271103,-0.00479102
-0.0088817,0.00201786,-0.00126533,-0.0127944,0.0140402,-0.00371648
-0.00611692,-0.00293207,0.000684338,-0.00814521,0.0204268,-0.00122006
0.00360438,-0.00293386,0.00485467,-0.00231749,0.0327914,0.00172055
0.0101668,0.00198293,0.0049586,-0.00348787,0.0330407,0.00146407
0.0,0.0,0.0,-0.00321018,0.0225493,0.00747424
0.00393414,0.00692344,0.00492258,-0.000947403,0.0181434,0.0103558
0.0060812,0.00229645,0.00425983,0.000116548,0.0151466,0.0142623
0.0,0.0,0.0,0.000743937,0.00859924,0.0167105
0.0,0.0,0.0,-0.000649143,0.0138793,0.0165566
-0.00270698,0.0019958,-0.00591666,0.0031654,0.0182355,0.0150373
0.0,0.0,0.0,0.00647631,0.0213605,0.0146201
0.0,0.0,0.0,0.00338816,0.0198356,0.00970847
0.00245879,-0.00317961,-0.00420394,0.000152462,0.017127,0.0043119
-0.00393236,0.00166035,-0.00562863,0.00302173,0.0167023,0.00243683
0.00288042,-0.00216472,-0.00585327,0.00328181,0.0105123,0.0010546
0.0,0.0,0.0,0.00534491,-0.00247393,0.00236879
0.000200868,0.00833869,-0.00608575,0.0141011,-0.00844254,0.00914462
0.0,0.0,0.0,0.0192489,-0.00704441,0.0103312
0.00242635,0.00395536,-0.00337201,0.0222591,-0.00902217,0.0121871
0.00289078,0.00340247,-0.00384316,0.0190496,-0.0093991,0.00895127
-0.00617197,0.00284815,-0.00266965,0.0239983,0.00209851,0.00915839
-0.00711432,0.00447333,-0.00410735,0.0273484,0.0189168,0.00918376
-0.00430832,0.00544143,-0.00546647,0.0285127,0.0349533,0.00870598
-0.0021179,0.00291467,-0.00405778,0.0269054,0.0441057,0.00739846
0.00383081,-0.00461614,0.00103044,0.0245635,0.0383757,0.00669984
0.00666404,-0.00106347,-0.000464093,0.0224867,0.0264588,0.00460177
0.00514967,-0.00186735,0.000929692,0.0210535,0.00798952,0.00492683
0.00314175,-0.00245261,0.00721551,0.0266701,-0.000671152,0.00587734
-0.00206666,-0.00391126,0.00375849,0.0251803,-0.00437746,0.00917192
0.0,0.0,0.0,0.0287205,-4.99e-05,0.00883947
0.0,0.0,0.0,0.0325202,0.0105454,0.00752577
-0.00404077,-0.0106338,0.00201483,0.026463,0.0156612,0.00510914
-0.00657321,-0.0066812,0.00554674,0.014408,0.0277873,0.00787998
-0.00578498,0.00563622,0.00534542,0.0100776,0.035786,0.0122142
-0.00285912,0.00227475,0.00581697,0.0144634,0.0421339,0.0159035
-0.000420908,-0.00313038,0.011352,0.0111501,0.0514502,0.0167592
-0.00252142,-0.00353652,0.0120579,0.00781406,0.0556935,0.0186871
0.00571581,0.000201464,0.00415327,0.00552128,0.0363554,0.016256
-0.000292968,-0.00766343,0.0111935,0.0108999,0.0214296,0.0181508
-0.00145757,-0.0103472,0.00045776,0.0149363,0.020773,0.0165009
-0.00508717,-0.0118176,0.00270327,0.0163625,0.0267941,0.0157704
-0.00109415,-0.0100689,0.00220916,0.0190112,0.0302627,0.0127118
0.00645304,-0.00734651,0.0027565,0.0128051,0.018268,0.00592957
0.00556058,-0.00288683,0.00527464,0.007835,0.00879351,-0.00424351
-0.00430396,0.000535011,0.00831166,0.00114589,0.018157,-0.0116058
-0.00282801,-0.000811338,0.00588274,-0.00351135,0.0292898,-0.0147096
-0.0031379,-0.000540733,0.00636759,-0.00727079,0.0350601,-0.0153096
0.00219137,-0.00333214,0.0096931,-0.00928097,0.0324104,-0.00833268
0.00813913,-0.00703335,0.0103541,-0.0021394,0.0203657,0.000274694
0.00684261,-0.00464004,0.011653,-0.00240166,0.00902421,0.00230983
0.0129522,-0.0030604,-0.00148913,0.00131609,-0.000665511,0.00526085
0.00725428,-0.00722033,0.00208426,0.00742608,-0.0131538,0.00612458
0.00286198,-0.00634235,0.00810493,0.00483641,-0.0189286,0.00661069
0.0068738,-0.0110102,0.00348451,0.0011236,-0.0267626,0.00428228
0.00121958,0.00220013,0.00466483,-9.53e-05,-0.0242096,0.00661452
0.0,0.0,0.0,-0.00665577,-0.00904066,0.00449886
0.0,0.0,0.0,-0.0118378,0.00823011,0.00400228
0.0,0.0,0.0,-0.0160714,0.0178324,0.00343383
0.0104198,-0.00415069,0.00160436,-0.0179649,0.0156437,0.00419825
0.00513536,-0.00548106,-0.000407332,-0.0212017,0.00397221,0.00183798
0.0,0.0,0.0,-0.0208974,-0.00959181,-0.00107667
0.0,0.0,0.0,-0.0195177,-0.00748902,0.000545557
-0.00873197,-0.00740087,-0.00270583,-0.0128165,0.00575264,0.00620257
-0.00462527,-0.00172937,-0.00595519,-0.00819015,0.0133037,0.00996125
0.00178725,0.00089848,-0.0110615,-0.00189003,0.00432444,0.0134985
0.0,0.0,0.0,-0.00110835,-0.00177529,0.00970206
0.00212412,0.00540149,-0.00573037,-0.00197554,-0.0037961,0.00569513
-0.00169144,0.0014267,-0.0059933,-0.00164798,0.00407958,-0.000211321
0.000534804,0.00360322,-0.0107232,-0.000868155,0.00927546,-0.00486444
-0.00394529,-0.00198555,-0.0044102,-0.00100383,0.0147585,-0.0109542
0.00133316,-0.00220269,-0.00454309,-0.0011937,0.0170462,-0.0159164
0.00686518,-0.000720382,-0.00580092,-0.00204209,0.0143033,-0.0186941
0.0,0.0,0.0,-0.004154,0.00469443,-0.0182307
0.00364054,-0.00151473,0.00323019,0.000980896,-0.0215631,-0.0142911
0.0,0.0,0.0,0.000940789,-0.036777,-0.011078
0.0,0.0,0.0,0.00419938,-0.0375567,-0.00915628
