AccX,AccY,AccZ,GyrX,GyrY,GyrZ
-0.000805467,-0.00587744,-0.00685249,0.000836937,0.00141373,-0.000534838
-0.00497289,-0.00448155,-0.00361824,-0.000358417,-0.00380978,0.000531847
0.0,0.0,0.0,0.00428205,-0.0103593,0.0016463
0.00673812,0.000834107,0.000916979,0.00392314,-0.0141692,0.00217814
0.0053567,0.00229526,0.000921849,0.000957038,-0.00479221,-5.85e-06
0.00462683,0.00629199,-0.000754807,-0.00019325,-0.000655589,-0.00483023
0.00365648,0.00467861,-0.00168323,-0.000211046,-0.0012765,-0.00929451
0.0015687,-0.010689,0.00055396,0.000220758,-0.00617226,-0.0103984
0.0,0.0,0.0,0.003878,-0.00793898,-0.00654464
0.0,0.0,0.0,0.00169864,-0.00837832,-0.00274179
0.0,0.0,0.0,0.00377842,-0.0104558,-0.00218187
0.0,0.0,0.0,0.00139074,-0.0121711,-0.00767407
-0.000893993,-0.00026381,-0.00725123,0.000122529,-0.00868857,-0.0060363
-0.000451059,-0.00304765,-0.00496197,0.000841191,-0.00917134,-0.0033899
0.0,0.0,0.0,0.000859482,-0.00979195,-0.00220777
0.00256615,-0.00532883,0.0024792,-0.00250878,-0.00672256,-0.00496332
0.00413365,-0.00253379,0.00337206,-0.000614107,0.00611122,-0.00435817
0.0,0.0,0.0,0.000456518,0.00880896,0.00167117
-0.00531498,0.00131142,-0.00468761,0.000122588,0.00500782,-0.0005296
-0.00811466,0.00697088,-0.00361318,-0.0052559,0.00144963,-0.00441917
0.000917368,0.00205457,-0.00692674,-0.00224955,-0.00542952,-0.00113211
0.00472174,-0.00366288,-0.00232843,-0.000425028,-0.00320317,0.00390167
0.0050423,-0.00684124,0.00333374,-6.98e-06,0.00248282,0.00656434
0.00362333,-0.00413972,0.0032137,-0.00122023,0.00598252,0.0027382
0.0,0.0,0.0,-0.00195627,0.00708583,-0.00109058
0.0,0.0,0.0,0.00294502,-0.000656457,-0.00270448
0.00571121,0.00199425,-0.000808086,0.00483336,0.000963302,-0.00104138
0.00131603,0.00534928,-0.00445622,0.0028972,-0.00315635,-0.00380531
0.0,0.0,0.0,0.000218037,-0.00368967,-0.00383376
0.00479546,-0.0056656,0.00304602,-0.00202411,0.00209463,-0.00602435
0.00687867,-0.00152284,0.00328308,0.00141015,-0.00968086,-0.00383967
0.00311202,0.00643337,0.00107119,-0.000346587,0.00492069,-0.00709193
0.0,0.0,0.0,-0.00486599,0.00526756,-0.0076828
-0.00467294,-0.00456661,-0.00966083,-0.00457926,0.00656911,-0.0065835
0.0,0.0,0.0,-0.00480596,-0.000954487,-0.00169058
0.00482434,-0.00766599,-0.00416039,-0.00457501,0.000331329,0.00487204
0.00670008,-0.00655419,-0.000560093,-0.00497596,0.0052358,0.0032426
0.0,0.0,0.0,-0.0038608,-0.00326298,0.00486849
0.00508171,-0.0011676,0.00321478,-0.00251732,-0.00423864,0.00160105
0.0,0.0,0.0,0.000513583,-0.0111101,0.00215965
0.0,0.0,0.0,-0.0017089,-0.0165315,-0.00170353
0.00550697,-0.00109679,0.000552639,-0.000888667,-0.017611,-0.00606896
0.0,0.0,0.0,-0.00175735,-0.0190314,-0.00280383
0.0110537,0.00198281,0.00225085,0.000522848,-0.0135949,-0.00440335
0.0082919,0.000431657,0.00156235,0.00237418,-0.0169602,-0.0104029
0.00508594,-0.00220376,0.000649271,0.000314591,-0.012389,-0.00713422
0.00381938,-0.00644159,-0.00537285,0.00335794,-0.0080477,-0.00763483
0.0,0.0,0.0,0.00106043,-0.00227806,-0.00436574
0.0,0.0,0.0,0.00293065,-0.00315125,-0.00653273
-0.000420347,-0.00284421,0.00564822,0.00121872,0.00273724,-0.00762811
0.00136956,-0.00498319,-0.00174054,0.00155324,0.00653877,-0.00542777
0.00630428,-0.00103116,-0.000890719,0.00207729,0.00664191,-0.00432848
0.00572489,-0.00289834,-0.000666882,0.00231537,0.00544348,-0.004329
0.0,0.0,0.0,0.000714382,0.00512644,-0.00489457
0.0,0.0,0.0,0.0013567,-0.00263248,-0.00764168
0.0,0.0,0.0,0.00330889,-0.010548,-0.00873518
0.0,0.0,0.0,0.00563891,-0.0113349,-0.0043395
0.0,0.0,0.0,0.00258197,-0.0044691,-0.00216902
0.00619254,0.000861049,-0.000967489,0.00153525,-0.00467473,-0.00436745
0.00316987,-0.00397658,0.000970414,0.00110995,0.000221948,-0.00326487
0.0046825,-0.00592744,0.00373395,0.00193394,-0.000857216,-0.00762976
0.0,0.0,0.0,0.00098616,0.0039369,-0.00762608
0.0,0.0,0.0,0.00415753,0.00456089,-0.00376209
-0.00732752,0.00261974,-0.00448608,0.00570989,0.00237729,-0.00429692
-0.00304394,0.00250328,-0.00451623,0.00451865,0.00276432,-0.00421847
0.0,0.0,0.0,0.0035535,0.00195004,-0.00323053
0.0,0.0,0.0,0.00578337,-0.00383818,-0.00103726
0.00808474,-0.00483114,0.00834875,0.000537434,-0.00237938,-0.00546548
0.0108892,-0.00801498,0.00655221,0.0030806,0.00434707,-0.00322797
0.0,0.0,0.0,0.00599725,0.00367736,-0.00319579
0.0,0.0,0.0,0.00594723,0.00117798,-0.00429746
0.00341585,-0.00104648,-0.00364918,0.00397666,-0.00294654,-0.0043346
0.0,0.0,0.0,0.00507324,-0.000243447,-0.00103408
0.00620388,-0.0037477,-0.000268265,0.00692955,0.00136255,0.00336457
0.000706738,-0.00508726,0.000360848,0.00567898,0.00236686,-0.00156417
0.00434868,-0.00313133,0.000672886,0.00572962,0.00486581,-0.000461744
0.0,0.0,0.0,0.00733138,0.00518064,0.000104753
-0.00721288,0.0017966,-0.0023028,0.00696179,0.00137124,0.000633003
-0.00460333,0.00354111,0.0036697,0.00783602,0.00279311,-0.00262996
-0.000590588,0.000859141,-0.00607289,0.00423089,-0.00165603,-0.000503161
0.0,0.0,0.0,0.00322246,0.00311781,0.00496712
0.00540358,-0.00245655,-0.000912846,0.00430106,0.00333073,0.0044342
0.00476913,-0.00334406,0.00468161,0.0024441,0.00172644,3.52e-05
0.00694535,0.00255609,-0.000904774,0.0041609,0.00456081,-0.00375847
0.0,0.0,0.0,0.00581426,0.00737371,-0.00208864
0.0,0.0,0.0,0.00490094,0.00097546,-0.00649578
0.0,0.0,0.0,0.00336308,0.000683254,-0.0125253
0.0,0.0,0.0,0.00248857,-0.000739357,-0.00926283
0.0,0.0,0.0,0.00159412,-0.0046494,-0.00983567
0.00388149,-0.00206888,-0.00250605,0.00221745,-0.010755,-0.00821442
0.0,0.0,0.0,-0.00132201,-0.00397704,-0.00986731
0.00530319,-0.00851774,-0.00114395,0.0035873,0.00196146,-0.00596021
0.0,0.0,0.0,0.000978957,0.00641987,-0.0010543
0.0,0.0,0.0,0.00418264,0.00704735,7.91e-05
0.000485229,-0.00374424,-0.00676977,0.00401427,0.00202754,0.00333449
-0.00163724,-0.00267512,-0.0044709,0.00364237,-0.00178194,0.0038603
0.0,0.0,0.0,0.00416541,-0.00168143,0.00495978
0.0,0.0,0.0,0.00293096,-0.00938903,0.00217961
0.0,0.0,0.0,0.00141365,-0.00719264,-1.47e-05
0.00696008,5.01e-06,0.00132251,0.000843013,0.00141189,-0.000530144
0.00436526,-0.00273848,0.00120077,0.00220901,0.00292436,3.94e-05
0.0,0.0,0.0,0.00205758,0.00663339,-0.00158496
-0.00378886,-0.00755519,-0.00365802,0.00273182,0.00302494,0.00113923
-0.00382171,-0.000591278,-0.00534214,0.00414614,-0.00416753,0.00112384
0.0,0.0,0.0,0.00117878,-0.00599372,-1.31e-05
0.0,0.0,0.0,0.00269616,-0.00819037,0.00218059
0.00380508,-0.00306785,-0.00190833,0.00310053,-0.00436821,-0.00107563
0.00506271,-0.00232321,-0.000131128,0.0029674,0.0018263,0.00113681
0.00992507,-0.00483245,-0.00467048,0.00242536,-0.000759256,-0.00379963
0.0,0.0,0.0,0.00281509,0.00553569,-0.000488202
0.00435085,0.00231123,-0.009549,0.00158291,0.00903147,-0.00158
-0.0011294,-0.00791013,-0.0250723,-0.00258987,0.0107123,-0.00653619
0.00534581,-0.00909662,-0.0216561,-0.00267956,0.0106747,0.00165982
0.00807515,-0.000429273,-0.00643734,-0.00870415,0.0366594,0.00736522
0.00498759,0.0050236,0.00921994,-0.0172819,0.081237,0.011679
-0.00601824,-0.00581008,0.0139651,-0.0250299,0.13698,0.0156935
-0.0180509,-0.011077,0.00293761,-0.014893,0.163875,0.0246497
-0.0358923,-0.0224409,-0.017503,-0.00783738,0.155261,0.0438
-0.0151375,-0.0121927,-0.031628,0.00213677,0.137231,0.0733078
-0.0238571,0.0152752,-0.0215057,0.000993207,0.114564,0.0786734
-0.00707323,0.0215234,-0.0168292,-0.002075,0.0603844,0.0729472
-0.021416,0.0106269,-0.0216573,0.00434691,-0.00189031,0.0715921
-0.0476277,-0.0322959,-0.0302548,0.0198642,-0.0487201,0.0943753
-0.0448192,-0.0394773,-0.00544244,0.0408343,-0.0742727,0.115265
-0.0295468,-0.0249531,0.0297171,0.0592665,-0.0807741,0.134229
-0.0183314,-0.00280708,0.0521615,0.0671653,-0.070494,0.151246
-0.0454622,0.00932503,0.0410326,0.0663974,-0.00338823,0.17521
-0.0472643,0.00305402,0.0314145,0.0599516,0.0200198,0.208728
-0.0457787,-0.0157687,0.0293197,0.0665235,0.0163097,0.223566
-0.027089,-0.0176994,0.00358437,0.0852979,-0.0334371,0.228784
-0.0211097,-0.0235094,-0.0213222,0.104776,-0.0855089,0.233932
-0.0233028,-0.00733757,-0.015091,0.12209,-0.136765,0.237363
-0.011262,0.00780714,-0.0108899,0.122362,-0.182985,0.236215
0.0013006,0.00691748,-0.00699063,0.130237,-0.210052,0.239159
-0.000390978,0.00587225,-0.00363588,0.135905,-0.207584,0.245776
-0.00388687,-0.00313568,0.00322936,0.141798,-0.187565,0.258753
-0.029953,-0.00941944,0.00977803,0.140646,-0.162956,0.277263
-0.0413266,0.00196433,0.014535,0.144027,-0.17486,0.290329
-0.0530569,-0.000458539,0.0118199,0.144701,-0.193563,0.294464
-0.0496837,0.00169671,0.0130813,0.152885,-0.242036,0.307389
-0.0459359,-0.00460488,0.00318216,0.161847,-0.292801,0.317494
-0.0408559,-0.00579137,-0.00343939,0.168373,-0.337895,0.32817
-0.039292,-0.0106768,-0.0180191,0.176051,-0.395219,0.334136
-0.037087,-0.00500387,-0.0465855,0.191451,-0.482142,0.342226
-0.0245623,0.00539029,-0.0582873,0.201633,-0.572905,0.347697
-0.0197238,0.0173024,-0.0763052,0.20234,-0.659875,0.351578
-0.00502387,0.0437921,-0.0899809,0.197289,-0.719397,0.355359
-0.00145108,0.0629898,-0.109099,0.18225,-0.786831,0.358509
0.0140876,0.0826243,-0.115399,0.168731,-0.866747,0.362018
0.0207621,0.0801324,-0.134167,0.142698,-0.919913,0.362456
0.0316796,0.0235068,-0.168962,0.112615,-0.927662,0.375585
0.0554182,-0.0452926,-0.222961,0.113188,-0.955207,0.437528
0.0499597,-0.0389928,-0.264676,0.149819,-1.07391,0.527351
0.0518688,0.0390203,-0.277952,0.174238,-1.23626,0.600785
0.072669,0.0532938,-0.196067,0.16654,-1.34625,0.637275
0.0957647,0.0375444,-0.110894,0.10251,-1.44532,0.63359
0.0839611,0.00164533,0.0459804,0.0333886,-1.49521,0.583025
0.0506852,0.00959074,0.131673,0.00274037,-1.65879,0.46706
0.0271006,0.0112592,0.112628,0.0202886,-1.99865,0.301906
0.0173577,-0.00404882,0.0752238,0.0647829,-2.40298,0.176504
0.101015,-0.0186414,0.094729,0.101272,-2.97968,0.137099
0.25252,-0.048806,0.159545,0.0592562,-3.53027,0.223507
0.343888,-0.0450999,0.222456,-0.0140229,-3.97167,0.367556
0.341373,-0.0277303,0.187935,-0.0920597,-4.27564,0.535103
0.332576,-0.0135685,0.118421,-0.184132,-4.54946,0.729271
0.312206,-0.0393858,0.0828124,-0.248768,-4.72584,0.896695
0.320684,-0.0537305,0.137789,-0.31264,-4.72435,1.06249
0.35095,-0.0294313,0.320106,-0.437588,-4.53142,1.17163
0.311396,0.00909197,0.34447,-0.661353,-3.86493,1.26393
0.239238,0.0289848,0.287117,-0.885548,-3.09182,1.23455
0.160116,-0.000111699,0.229298,-0.986132,-2.5773,1.00236
0.144813,-0.0433785,0.209854,-0.935679,-2.38798,0.799984
