AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.00164159,0.00462675,-0.00970883,0.00464087,-0.0014742,0.0198923
0.00380385,-0.000496745,-0.00506723,0.00316648,0.00305703,0.0298012
0.0,0.0,0.0,0.00805251,0.00348595,0.0130108
-0.00145091,0.00170302,-0.00540785,0.0109706,0.00585044,0.00965332
0.0,0.0,0.0,0.00752019,0.00315004,0.0203136
0.0,0.0,0.0,0.00799063,0.00916802,0.0218515
0.0,0.0,0.0,0.00439321,0.00725451,0.0178223
0.0012754,-0.000550568,-0.00577026,0.00433501,0.0129373,0.0266622
0.0,0.0,0.0,0.00257104,0.0158787,0.0205395
0.00555997,-0.00260568,0.00190372,0.00510473,0.0122851,0.0144257
0.002919,-0.0041545,0.00389541,0.0056497,0.0144665,0.00941598
-0.00288673,-0.00489283,0.00473546,0.00471291,0.0187161,0.00733831
-0.00708149,-0.00435793,0.00456896,0.00280502,0.0213273,0.0100199
-0.0048555,-0.00208163,0.00354373,0.000442211,0.0185935,0.0192877
0.00861537,0.00241113,0.00180588,-0.00185309,0.00680909,0.0369683
0.00520923,-0.00519413,-0.00685331,-0.00187362,0.00565003,0.0356869
0.00369955,0.0109372,-0.00374818,-0.0007564,0.0116147,-0.00932313
0.00312616,0.0245064,-0.000208917,-0.000502794,0.00539681,0.0149287
-0.00747258,0.0137666,0.00197197,-0.00555627,0.000954068,0.0842511
0.000950192,-0.00563854,0.00167389,-0.00628981,0.00276158,0.0977703
0.0115428,-0.00970364,0.00468797,-0.00173311,0.00163852,0.0649369
0.00809206,-0.0102367,0.00249519,-0.0011395,-0.000174014,0.0343032
-0.000289313,-0.008681,-0.00100217,-0.00225078,-0.000569771,0.014527
0.000847656,-0.00716454,0.00143897,-0.000338062,0.00585384,0.0304716
0.00459798,-0.00500405,0.00367657,-0.000566866,0.0113366,0.0421743
0.00940099,-0.0022226,0.00291723,-0.00562483,0.0114001,0.0258798
0.00626493,-0.00139576,0.00101355,-0.00450239,0.00549588,0.0195543
0.0,0.0,0.0,-0.00394404,0.0015141,0.024313
0.0021792,-0.00455368,-0.00336259,-0.00104038,-0.00273756,0.0304511
0.0,0.0,0.0,-0.00102258,-0.00157753,0.0317323
0.00522915,-0.000674725,0.00556656,-0.000526975,0.00334306,0.0307698
0.00563626,0.00247097,0.0098828,0.000412542,0.00190945,0.0332216
0.00192705,-0.00154483,0.00769786,-0.00146675,-0.00301617,0.0365384
0.00376941,3.29e-05,0.00689807,-0.00442216,-0.0022477,0.0265568
0.00389131,-0.00153834,0.00497346,-0.00660519,-0.00562684,0.0242024
0.0,0.0,0.0,-0.00743915,-0.00817542,0.0272948
0.00102161,0.00522852,-0.000715199,-0.00635382,-0.00491464,0.0336529
0.0,0.0,0.0,-0.008125,-0.0086287,0.0370339
0.0,0.0,0.0,-0.00580649,-0.0112117,0.0358524
0.0,0.0,0.0,-0.00397398,-0.00976098,0.0286929
0.00142838,0.00515044,0.00265402,-0.00377568,-0.00732886,0.0288195
0.0,0.0,0.0,-0.00295653,-0.0042326,0.0388293
0.00306513,-0.00219256,0.00363035,-0.0049598,-0.00579684,0.0484236
0.00292309,-0.00888729,0.000124102,-0.00322739,-0.00556091,0.0412009
0.000526333,-0.00663197,1.89e-05,-0.000470895,-0.0034177,0.0271912
0.0,0.0,0.0,0.00130621,-0.000932317,0.0159888
0.0,0.0,0.0,0.000100746,0.000328367,0.0171876
0.0046592,-0.000130534,-0.00298115,-0.00045542,-0.00464946,0.0193701
0.0,0.0,0.0,-0.00348933,-0.00484495,0.0277281
0.0,0.0,0.0,0.00032091,-0.00619088,0.024258
0.0,0.0,0.0,0.000762912,-0.00474912,0.0194516
-0.00251065,0.00558364,7.39e-05,0.0020896,-0.00131144,0.0221572
0.0,0.0,0.0,0.00366618,0.0011361,0.0199304
0.0,0.0,0.0,0.00202689,0.00211156,0.0272159
0.00580846,-0.000303984,0.00102047,0.000826256,0.00452856,0.0296954
0.00470967,-0.00218838,0.000910628,0.00107066,0.00237791,0.0234824
0.00366251,0.00294709,-0.00229146,0.00124325,0.00249052,0.0210478
0.0,0.0,0.0,0.00342835,0.0044448,0.0274243
0.000796256,-0.00483537,-0.00443889,0.00489564,0.00335857,0.0225731
-0.00226938,-0.00467271,0.00130108,0.00690412,0.00725385,0.0155407
0.000383155,-0.0112709,0.00149782,0.0100153,0.0031455,0.019246
-0.00097278,-0.00594991,-0.00488554,0.00663352,0.00476513,0.0166308
0.00498258,0.00555491,0.00055828,0.0112077,0.00600643,-0.0136411
-0.00157429,0.0183511,0.00396069,0.00914469,0.00784991,0.00101293
-0.00471354,0.0113364,0.00642861,0.00389487,0.00176861,0.0543042
0.00544254,-0.00258201,0.000196459,0.00255118,0.00985937,0.0656266
0.00810001,-0.00690567,0.00392716,0.00610781,0.019431,0.0418076
0.010094,-0.0141868,-0.000368674,0.00572345,0.0154654,0.0244283
8.69e-05,-0.0108898,-0.00720759,0.00585592,0.0141665,0.00230719
-0.000805745,-0.00464672,-0.00372263,0.00762265,0.0248503,0.00661664
0.00482884,-0.00432324,0.00531871,0.00227179,0.021655,0.028162
0.00676027,-0.00749511,0.00683054,0.00214272,0.0111678,0.0178455
0.00734046,-0.00463086,0.00265583,0.00281201,0.0104737,0.00682474
0.00407532,0.000652075,0.00444845,0.00566299,0.0105786,0.000896671
0.00494135,-0.00192904,0.00565449,0.00401715,0.00806371,0.00434069
0.0,0.0,0.0,0.00393335,0.00800552,0.00555797
0.0,0.0,0.0,0.00385494,0.00910564,0.00805714
0.0,0.0,0.0,0.00231058,0.0101233,0.0141298
0.000167303,-0.0038172,0.00610289,0.00151281,0.0105078,0.00796375
-0.00511516,-0.00386387,0.000377614,0.00338534,0.00856578,-0.00426081
0.0,0.0,0.0,0.000943277,0.00643474,-0.00698223
-0.002117,-0.00464624,0.00645927,-7.25e-05,0.00225808,0.00378144
-0.00230781,-0.00437307,0.00622489,-0.0012989,3.43e-05,0.00113879
