AccX,AccY,AccZ,GyrX,GyrY,GyrZ
-0.00432547,0.00322795,0.00121971,0.0280069,-0.0231223,0.00184302
-0.0124548,0.0052669,-0.0111793,0.00925081,0.00882065,-0.026473
0.00685061,0.00111318,0.00284638,0.000495325,-0.00379779,0.000507143
-0.000805467,-0.00587744,-0.00685249,0.000836937,0.00141373,-0.000534838
0.00632478,0.00287402,0.00699401,0.0053811,0.00692138,0.0110295
0.00164159,0.00462675,-0.00970883,0.00464087,-0.0014742,0.0198923
-0.0049812,0.00654912,0.000347557,0.026656,-0.0241412,0.00148852
-0.00381375,0.00904393,-0.00726986,0.00625747,0.0403707,-0.0225879
0.00697083,-0.00192535,0.00762632,0.00458906,-0.00485823,0.000339723
-0.00497289,-0.00448155,-0.00361824,-0.000358417,-0.00380978,0.000531847
-0.00150813,0.00625062,0.000710717,0.00253297,0.00623428,0.0170454
0.00380385,-0.000496745,-0.00506723,0.00316648,0.00305703,0.0298012
-0.00305249,0.0119209,0.00470659,0.0202774,-0.021866,-0.00180639
0.00541842,0.00557899,-0.0119519,0.00457271,0.0541807,-0.0188564
0.00662326,0.0021311,0.00248155,0.00131835,-0.00357368,0.00138169
0,0,0,0.00428205,-0.0103593,0.0016463
0,0,0,0.00215559,0.00517371,0.0219552
0,0,0,0.00805251,0.00348595,0.0130108
0.00573899,0.00826955,0.00384092,0.0135731,-0.0121104,-0.00428628
0.00541111,0.00773954,-0.00683388,0.00599519,0.0411262,-0.0150986
0.00863476,-0.00188911,0.00328879,0.0044868,0.000301977,0.000820667
0.00673812,0.000834107,0.000916979,0.00392314,-0.0141692,0.00217814
0,0,0,0.00738098,0.00688773,0.0209022
-0.00145091,0.00170302,-0.00540785,0.0109706,0.00585044,0.00965332
0.0036247,0.0103531,0.00626728,0.00996248,0.00209323,-0.00605554
0.0130884,0.00605679,-0.0012237,0.0126574,0.0352916,-0.00491698
0.00625409,0.0024457,0.0033913,0.000888539,-0.00243563,0.00149454
0.0053567,0.00229526,0.000921849,0.000957038,-0.00479221,-5.85E-06
0,0,0,0.00407885,0.0084876,0.0170422
0,0,0,0.00752019,0.00315004,0.0203136
0.00378311,0.00885797,0.00621426,0.00561731,0.0102304,-0.0128563
0.0151639,0.000859141,-0.00398186,0.0148956,0.0168864,0.00139268
0.00694415,0.0021615,0.00309115,0.000133813,-0.00321293,-0.000155867
0.00462683,0.00629199,-0.000754807,-0.00019325,-0.000655589,-0.00483023
-0.00418824,-0.000795424,0.00435826,0.00275393,0.00740738,0.0157954
0,0,0,0.00799063,0.00916802,0.0218515
0.00300624,0.00258064,0.00430193,0.0115223,0.012982,-0.0137753
0.0158778,0.0059222,-0.00346907,0.0230341,-0.00511759,0.00646237
0.00825874,0.00124002,0.00191278,0.0012609,-0.00325432,-0.00205861
0.00365648,0.00467861,-0.00168323,-0.000211046,-0.0012765,-0.00929451
-0.00132401,-0.00485522,-0.00342126,0.00599927,0.0118022,0.012129
0,0,0,0.00439321,0.00725451,0.0178223
0.00120024,0.00543189,0.00501359,0.00805323,0.0147867,-0.0225623
0.00632261,0.0012151,-0.0019964,0.0310829,-0.0181814,0.00924188
0.00781464,0.00366187,-0.000598817,0.00330741,-0.00378459,-0.00214229
0.0015687,-0.010689,0.00055396,0.000220758,-0.00617226,-0.0103984
0,0,0,0.00528648,0.0142758,0.008352
0.0012754,-0.000550568,-0.00577026,0.00433501,0.0129373,0.0266622
0.00107024,0.0052352,0.00860906,0.00986522,0.0120175,-0.0257151
0.0052899,-0.00627726,-0.00575203,0.0311821,-0.0197281,0.0129757
0.00678774,0.000405312,0.00190588,0.00593123,0.00186805,-0.00947061
0,0,0,0.003878,-0.00793898,-0.00654464
0,0,0,0.00248447,0.0195037,0.00440621
0,0,0,0.00257104,0.0158787,0.0205395
0.00289014,0.00349164,0.00340779,0.00808966,0.00116748,-0.025721
-0.00137682,-0.00393379,-0.00577467,0.0272088,-0.0139672,0.0134554
0,0,0,0.00218541,-0.0081902,-0.00166532
0,0,0,0.00169864,-0.00837832,-0.00274179
0,0,0,0.00271877,0.021997,0.00678741
0.00555997,-0.00260568,0.00190372,0.00510473,0.0122851,0.0144257
-0.000540145,0.00582266,0.00661881,0.00974653,-0.000340597,-0.0277056
-0.00183187,-0.00358605,-0.00589708,0.0259479,0.00261075,0.0123591
0.00313443,-0.00079453,0.00534995,0.00723362,0.0029746,-0.00244794
0,0,0,0.00377842,-0.0104558,-0.00218187
-0.00038126,-0.000535071,0.00759989,0.00352718,0.0247839,0.00522256
0.002919,-0.0041545,0.00389541,0.0056497,0.0144665,0.00941598
-0.00019183,0.00541329,0.00689929,0.0113047,-0.00257697,-0.0289184
-0.00174678,-0.000958681,-0.00599131,0.0221996,0.0161784,0.0114267
0.00576708,0.000359774,0.00385698,0.00573828,0.00731578,-0.00232318
0,0,0,0.00139074,-0.0121711,-0.00767407
0.00164936,0.000235379,0.00835422,0.00465959,0.0275837,0.00121271
-0.00288673,-0.00489283,0.00473546,0.00471291,0.0187161,0.00733831
0.0023782,0.00360417,0.00522428,0.0121776,-0.00594006,-0.029771
-0.00105192,0.00189686,-0.00482487,0.0174451,0.0269062,0.0110681
0.00863527,0.0019877,0.000860623,0.0018507,0.00744933,-0.0019418
-0.000893993,-0.00026381,-0.00725123,0.000122529,-0.00868857,-0.0060363
0.00323798,0.000141323,0.00737346,0.00586689,0.0301153,-0.00374117
-0.00708149,-0.00435793,0.00456896,0.00280502,0.0213273,0.0100199
0.00561127,0.00173652,0.0025677,0.0117781,-0.0108274,-0.0306752
0,0,0,0.0132279,0.0366828,0.011943
0.00761274,0.000813127,0.00101245,0.00201604,0.00593403,-0.00256268
-0.000451059,-0.00304765,-0.00496197,0.000841191,-0.00917134,-0.0033899
0.00344147,-0.00159311,0.00586473,0.00690126,0.0320973,-0.00813805
-0.0048555,-0.00208163,0.00354373,0.000442211,0.0185935,0.0192877
0.00795043,0.00115371,-9.40E-05,0.00951851,-0.0176357,-0.0320434
0.00246787,7.76E-05,0.00621131,0.0108477,0.0405254,0.0137051
