AccX,AccY,AccZ,GyrX,GyrY,GyrZ
-0.00432547,0.00322795,0.00121971,0.0280069,-0.0231223,0.00184302
-0.0049812,0.00654912,0.000347557,0.026656,-0.0241412,0.00148852
-0.00305249,0.0119209,0.00470659,0.0202774,-0.021866,-0.00180639
0.00573899,0.00826955,0.00384092,0.0135731,-0.0121104,-0.00428628
0.0036247,0.0103531,0.00626728,0.00996248,0.00209323,-0.00605554
0.00378311,0.00885797,0.00621426,0.00561731,0.0102304,-0.0128563
0.00300624,0.00258064,0.00430193,0.0115223,0.012982,-0.0137753
0.00120024,0.00543189,0.00501359,0.00805323,0.0147867,-0.0225623
0.00107024,0.0052352,0.00860906,0.00986522,0.0120175,-0.0257151
0.00289014,0.00349164,0.00340779,0.00808966,0.00116748,-0.025721
-0.000540145,0.00582266,0.00661881,0.00974653,-0.000340597,-0.0277056
-0.00019183,0.00541329,0.00689929,0.0113047,-0.00257697,-0.0289184
0.0023782,0.00360417,0.00522428,0.0121776,-0.00594006,-0.029771
0.00561127,0.00173652,0.0025677,0.0117781,-0.0108274,-0.0306752
0.00795043,0.00115371,-9.4e-05,0.00951851,-0.0176357,-0.0320434
0.0078395,0.00320005,-0.0017861,0.00481108,-0.0267605,-0.0342885
0.00935322,2.57e-05,-0.000702912,0.00585762,-0.0170179,-0.0408311
0.00285837,0.00757384,0.00357259,0.0137315,-0.0146128,-0.0398624
-0.00491977,0.0106468,0.000270612,0.00972377,-0.0250984,-0.0367248
-0.0112255,0.00802565,0.000731704,0.0029011,-0.0388344,-0.0304437
0.00269417,-0.000932217,-0.00671313,0.000787565,-0.0434502,-0.0219129
0.00632669,-0.000504792,-0.00997489,0.00180911,-0.0373744,-0.0171098
0.00421654,0.00307477,-0.0102066,0.00229564,-0.0263765,-0.0133468
0.00181594,-0.0016914,-0.00821389,-0.00472339,-0.0182149,-0.00570565
0.00092933,-0.00525737,-0.00616143,-0.0130502,-0.0126811,0.00179366
0.00427957,-0.00333834,-0.00587501,-0.0197773,-0.0115609,0.00737049
0.0,0.0,0.0,-0.0266583,-0.0178421,0.00943058
0.00178149,-0.00341511,-0.0081554,-0.0202026,-0.0238796,0.0104027
0.0,0.0,0.0,-0.0169291,-0.0244204,0.00375308
0.00655457,-0.00176299,-0.00830462,-0.0231027,-0.0221529,0.00816015
0.0079966,0.00391614,-0.00698662,-0.0239041,-0.0133514,0.0113124
0.00933154,0.005651,-0.00166825,-0.0206822,-0.00769538,0.00817159
